variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],620922965.1,614779500,36597414.67920271,32396292.599999998,573449650,688687549.9999999,1.0000903650140762,29730.518582195036,21132.270734800775
A[2],207124.2153,205960.5,7392.712461800743,6565.6941,197486.95,220808.15,1.0002661671559956,28531.425779575755,20678.947884477482
A[3],2693506.7686666665,2677160,101147.0664176013,89460.08399999999,2561698.5,2881931,1.0000347815959243,28281.352917501674,20905.985541967435
A[4],717296.8186666666,717234.5,5978.030648265302,5966.7237,707497.9500000001,727152,1.000162422344033,61332.142708739906,22242.452444864553
A[5],211844.39653333335,211073.5,5361.50997319484,4820.6739,204596.95,221641.1,1.0000456203274086,28586.361320954147,19931.230129646592
A[6],4215592484.6666665,4085920000,812424965.2010512,713501250,3156595000,5726345000,1.0002000376788682,28411.704496836748,20250.523093446376
A[7],3043759.793666667,3000935,290886.7007471405,263420.95499999996,2653106.5,3581407,1.000167849739096,31101.710294525325,22003.340714049325
A[8],619602.5508,618908,8226.278961790964,7732.5003,607368.85,634123.0499999999,0.999989219207814,33323.98944820216,21690.673994905526
A[9],6186505.033333333,6022035,1028363.845922197,907840.458,4845476,8095201,0.9999534719412555,29434.36990958464,21086.877989272205
A[10],132718.07432666665,130609,14383.433451068684,13140.2838,113324.9,159238.55,1.0001817487473466,30045.22007532909,21289.150115222288
A[11],913645.4952666666,910602.5,22069.157888879865,19969.1394,883857.75,953874.1499999999,1.0005367733991786,28813.53829219109,20299.978270582615
A[12],14236322.126666667,13967800,1858303.6381810158,1678154.94,11745595,17680040,1.000253621074519,30769.549625745665,21534.651937607774
A[13],2774846.388333333,2743765,193488.4296227877,175057.995,2514879.5,3133791,1.0002330086817333,28936.548457542867,21627.762864576107
A[14],227257.3037,226093,7548.63367605106,6647.237099999999,217237,241135.05,1.000468873676552,27419.66786221036,18155.604581692165
A[15],488309.2112,481591.5,44834.17393574249,40735.1763,428285.3,571487.5,1.000272677573289,29958.9526712177,20663.365474941962
A[16],2598973.1736666667,2502810,569350.3038037999,500681.43299999996,1859425,3674304.5,1.0003385742515136,30734.59272390978,21818.14569835726
A[17],214175.85813333333,213916,3099.1066662203593,2953.3392,209629,219646.05000000002,1.0000466253003233,29887.244883685544,21370.44813320971
A[18],379039.67603333335,377663.5,9331.26317841065,8336.6598,366485,396157.2,1.0001609411145758,29547.664818248224,21458.891660348992
A[19],28069.22907,27750.75,2015.909175880397,1810.7735099999977,25407.594999999998,31828.6,1.0000997242175134,28955.56833161418,20797.86673461734
A[20],75983069106.66667,75969100000,675616591.3693602,667763040,74902490000,77113605000,1.000368291671859,45958.798146682806,23244.891296640788
A[21],257795.69946666667,257073.5,5555.11006376475,4984.5012,250267,267824.05,1.0002573825517496,27595.841749068146,19018.555661261806
A[22],1336684.0703333332,1335720,15301.346136931003,14692.565999999999,1313400,1363230.5,0.9999486760803171,34884.019538845976,22740.779501391393
A[23],83868330.02333333,83674550,1611225.9452435032,1473778.53,81618395,86795000,1.000358201465058,28921.81453098076,20786.716641064137
