1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,7581.41,7533.42,7679.56,7609.16,7663.14,7616.04,0.916133,0.80417,0.979849,0.974348,0.855284,0.880934,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7639.02,7588.85,7632.25,7695.73,7686.53,7727.08,0.708683,0.871138,0.999083,0.503332,0.844121,0.960012,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7602.39,7663.27,7575.08,7729.03,7627.75,7711.28,0.926664,0.795861,0.94587,0.944761,0.765196,0.873707,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7587.74,7665.95,7568.44,7659.56,7605.92,7583.25,0.970212,0.858233,0.92602,0.884517,0.984363,0.990064,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7652.64,7551.49,7535.55,7708.64,7714.49,7627.12,0.924942,0.918592,0.980663,0.927625,0.716344,0.84558,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7731.26,7620.67,7666.4,7629.33,7604.96,7566.7,0.703166,0.892325,0.793991,0.725019,0.938189,0.982686,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7645.9,7614.3,7678.32,7671.7,7578.97,7519.75,0.979728,0.941522,0.965881,0.915381,0.920585,1,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7576.16,7626.45,7692.15,7578.5,7477.81,7562.72,0.815051,0.920031,0.993266,0.869364,0.967272,0.891376,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7574.61,7583.31,7652.16,7595.79,7415.64,7560.36,0.819668,0.991094,0.794649,0.992911,0.828167,0.970945,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,7640.87,7615.75,7616.12,7608.4,7472.67,7628.58,0.958365,0.89597,0.865251,0.774047,0.905426,0.894606,0.038869,0.0427621,0.0381491,0.0434657,0.045143,0.0409109,127,127,127,127,127,127
