variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
id[1],3402,3402,0,0,3402,3402,NA,NA,NA
id[2],4003,4003,0,0,4003,4003,NA,NA,NA
id[3],4096,4096,0,0,4096,4096,NA,NA,NA
id[4],4104,4104,0,0,4104,4104,NA,NA,NA
id[5],4262,4262,0,0,4262,4262,NA,NA,NA
id[6],4407,4407,0,0,4407,4407,NA,NA,NA
id[7],4495,4495,0,0,4495,4495,NA,NA,NA
id[8],4825,4825,0,0,4825,4825,NA,NA,NA
id[9],5197,5197,0,0,5197,5197,NA,NA,NA
id[10],5268,5268,0,0,5268,5268,NA,NA,NA
id[11],5766,5766,0,0,5766,5766,NA,NA,NA
id[12],5839,5839,0,0,5839,5839,NA,NA,NA
id[13],5898,5898,0,0,5898,5898,NA,NA,NA
id[14],5920,5920,0,0,5920,5920,NA,NA,NA
id[15],6095,6095,0,0,6095,6095,NA,NA,NA
id[16],6107,6107,0,0,6107,6107,NA,NA,NA
id[17],6158,6158,0,0,6158,6158,NA,NA,NA
id[18],6208,6208,0,0,6208,6208,NA,NA,NA
id[19],6297,6297,0,0,6297,6297,NA,NA,NA
id[20],6559,6559,0,0,6559,6559,NA,NA,NA
id[21],6620,6620,0,0,6620,6620,NA,NA,NA
id[22],6631,6631,0,0,6631,6631,NA,NA,NA
id[23],6648,6648,0,0,6648,6648,NA,NA,NA
id[24],6696,6696,0,0,6696,6696,NA,NA,NA
id[25],6864,6864,0,0,6864,6864,NA,NA,NA
id[26],7016,7016,0,0,7016,7016,NA,NA,NA
id[27],7051,7051,0,0,7051,7051,NA,NA,NA
id[28],7077,7077,0,0,7077,7077,NA,NA,NA
id[29],7397,7397,0,0,7397,7397,NA,NA,NA
id[30],7450,7450,0,0,7450,7450,NA,NA,NA
id[31],7737,7737,0,0,7737,7737,NA,NA,NA
id[32],7781,7781,0,0,7781,7781,NA,NA,NA
id[33],7882,7882,0,0,7882,7882,NA,NA,NA
id[34],8245,8245,0,0,8245,8245,NA,NA,NA
id[35],8278,8278,0,0,8278,8278,NA,NA,NA
id[36],8338,8338,0,0,8338,8338,NA,NA,NA
id[37],8592,8592,0,0,8592,8592,NA,NA,NA
id[38],8782,8782,0,0,8782,8782,NA,NA,NA
id[39],8860,8860,0,0,8860,8860,NA,NA,NA
id[40],9250,9250,0,0,9250,9250,NA,NA,NA
id[41],9254,9254,0,0,9254,9254,NA,NA,NA
