variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],3.5051841545833335,3.53688,0.7033191510185008,0.6709728690000001,2.295478,4.613054000000001,1.0002121087470452,19918.229492553866,11823.108037670656
tau[2],3.002968174583333,3.042255,0.5518420762085835,0.5035354380000001,2.0150905,3.8435939999999995,1.0003857383234203,19676.36732244805,10981.108149459282
tau[3],3.04798626,3.0839999999999996,0.5518759770729278,0.5108446560000006,2.073189,3.8965805000000002,1.000661106194865,20736.587657297656,12272.796737772713
tau[4],1.8157195895833333,1.86522,0.26494068943321814,0.2464525979999998,1.292977,2.1679120000000003,1.0009264767311719,13364.746803323682,5564.629480615684
tau[5],2.729044135,2.769125,0.4673773651179021,0.42908667899999997,1.882818,3.4215725,1.0000762197566697,19842.823775104058,11637.50633594521
tau[6],4.203603817083334,4.195355,0.9658556993205974,0.9624594420000003,2.6284050000000003,5.812073,1.0003393270911356,27157.42921593332,13128.68293851841
tau[7],4.07908861,4.097284999999999,0.8930690519980212,0.8918061390000013,2.58328,5.523517,0.9999781581171973,23370.990352256158,13225.37653541023
tau[8],2.28514959375,2.336345,0.3610701417211286,0.3291668520000001,1.596015,2.7875344999999996,1.000325653764228,19533.022721925765,11629.565503566231
tau[9],4.210406085833333,4.197255,0.9499244661335242,0.9555653519999999,2.6449570000000002,5.785515500000001,1.0000869148178315,30438.443564541532,14912.515916423252
tau[10],4.143797025416666,4.14819,0.9231753545822803,0.9357429899999994,2.6046825,5.661980000000001,1.0003881276537554,25227.69000082482,14707.511525482436
tau[11],2.6862672745833334,2.727255,0.45359406987725354,0.41274842700000025,1.8532295,3.3633815,1.0002435707993325,18928.098781508255,11078.361618620947
tau[12],4.20735315125,4.204555,0.9546196847000771,0.9607915169999999,2.6336160000000004,5.777608,1.0001303870264182,27642.96069734114,15461.468991188081
tau[13],3.728531584166667,3.7642100000000003,0.76317879862931,0.750699684,2.425975,4.940594499999999,1.000181677831456,22033.38459152266,13110.727368609712
tau[14],2.9425176858333333,2.98034,0.5221591106068254,0.47939871,2.0110335,3.7467404999999996,1.000470427462976,19479.680552496546,10758.567536143999
tau[15],4.039527165,4.061045,0.8625708907943922,0.8616426420000002,2.5826065000000002,5.4224725000000005,1.0003714942843187,25326.32494737676,14703.56675304887
tau[16],4.198455589583333,4.190910000000001,0.96610833954771,0.9755137349999993,2.6211800000000003,5.806292,1.000257514555987,30536.669168020897,14686.560244513956
tau[17],2.3460880920833334,2.397135,0.37562742137652316,0.339552465,1.638903,2.8789814999999996,1.0002426225792258,17237.374312762367,9625.994933037631
tau[18],2.7159711820833334,2.75941,0.46895348300190287,0.432467007,1.8605889999999998,3.40765,1.0005361553214502,18660.107549763743,10012.846106773886
tau[19],3.7407703145833335,3.762585,0.7668595104867523,0.7435239,2.4403985,4.972123000000001,1.0004994021823808,22626.147380475766,12595.84021120827
tau[20],1.9393302658333333,1.9912299999999998,0.28787712563837964,0.26219039699999985,1.3738020000000002,2.3279935,1.0003330564774486,19936.166387022502,9436.662029836934
tau[21],2.611167073333333,2.659685,0.4341877266759269,0.3969364979999997,1.810874,3.2516134999999995,1.0003229873062036,18390.121942861453,11752.552236659556
tau[22],2.1815403904166666,2.230975,0.33535737173839525,0.30876627599999984,1.5407045000000001,2.648202,1.000484067935938,17688.542959176128,9977.82553012611
tau[23],2.5415957804166665,2.58542,0.41743307680507274,0.38360792399999993,1.7747455,3.1547335,1.000345991738897,18938.167688835005,11928.810460713803
tau[24],3.41911346,3.443125,0.6561908947399193,0.6231664320000003,2.2972650000000003,4.462750999999999,1.0001193517342144,23647.262892166273,14665.024241144902
tau[25],3.4989114541666666,3.51982,0.6762226011071939,0.63818517,2.3347525,4.580679,0.9999721963796206,21950.519938699763,14701.95537403364
tau[26],3.6518356783333332,3.674585,0.7227067834710824,0.6941681459999997,2.430842,4.7971995,1.0001919490450193,24140.80135870975,13942.328976666533
tau[27],4.191620502916667,4.19403,0.949848104161305,0.9617700330000001,2.6191099999999996,5.741140499999999,1.0003786912726842,25864.610169203766,14418.85294742707
tau[28],3.210421025,3.2496150000000004,0.5943083683706107,0.5531951249999992,2.170608,4.1393615,0.9999691183357182,21287.39230930537,13064.377320365244
tau[29],1.7477109016666668,1.794315,0.24866343111785183,0.2314783379999998,1.2552655000000001,2.0815005,1.000033346930025,18369.74789248129,9562.770910555646
tau[30],4.20636397125,4.1928149999999995,0.9563432811842911,0.96361587,2.6266355,5.778967,1.000320468451403,29610.788177523773,15306.506664535582
tau[31],2.9595086775,2.996925,0.5313446347837695,0.4883091359999998,2.0168125,3.773039,1.000146195947266,17718.32754897724,10664.128015364544
tau[32],1.7924378829166667,1.840605,0.2551523644712301,0.23566668299999993,1.286478,2.1325965,1.0003068351540678,18527.434054193614,8688.540870967885
tau[33],4.1932988025,4.18774,0.9671827179916972,0.9784789349999996,2.6109915,5.7991725,0.9999852036713365,31250.864999471516,15340.99135930544
tau[34],3.7697446879166665,3.78842,0.7725779471999024,0.7466077079999999,2.4583625000000002,5.018642000000001,1.0002418634843984,21856.334087912794,14110.694585833437
tau[35],3.77315403125,3.796785,0.7623911087808766,0.7352584049999995,2.4913895000000004,4.997141000000001,1.0000762624090551,22640.377136313862,14842.332090843176
tau[36],1.64835445625,1.6943199999999998,0.22640312785387245,0.21249364500000004,1.2003795,1.948723,1.0007587710404897,18902.15158006595,8983.766204925301
tau[37],2.6285110954166666,2.675625,0.4394499714147447,0.40121379900000004,1.815947,3.2756015,1.0000749523844052,19267.39085133502,10890.083442918636
tau[38],4.089500894583334,4.10625,0.88600005762885,0.8744819580000001,2.616677,5.534734499999999,1.0000082522121785,24132.55745140391,15052.42895142976
tau[39],3.6608884766666665,3.686825,0.7395948716032765,0.7107880920000003,2.395168,4.8255025,1.000457445575311,22037.3246414145,12360.240434079024
tau[40],4.191024269166666,4.18832,0.9374386005247387,0.9408505469999997,2.640726,5.7268625,1.0000928296056388,26377.743419452672,14003.709040890151
tau[41],3.9075656029166668,3.9311999999999996,0.8084678614060004,0.7849032660000005,2.542217,5.207756,1.0001262138457412,21480.43832118515,14644.438206168488
tau[42],4.035846006666667,4.05275,0.8712274477762164,0.8706865019999999,2.5704960000000003,5.4386915,1.0002062777455785,26057.535127103663,15098.452797960033
tau[43],4.104741331666666,4.119995,0.8908918642831577,0.8980182330000002,2.614029,5.543894499999999,1.0003434165415646,25338.56591023545,15287.766174444378
tau[44],3.826859085,3.851935,0.7977543221546662,0.772664403,2.465485,5.09587,1.000199257877067,21295.041681870534,11973.47554607494
tau[45],2.8160727033333335,2.856605,0.48892394646589443,0.4527415620000002,1.935349,3.544149,1.0003138929951996,17878.103278877443,10211.284001191845
tau[46],3.859288235416667,3.87933,0.8060954678190627,0.7849403309999998,2.5025075,5.155830999999999,1.0001364907732653,23953.81748267102,13600.145298920454
tau[47],1.8612732083333334,1.91201,0.27520343185531737,0.25388783699999995,1.323955,2.2328055,1.0003575200115244,17183.181910983858,9576.289800395607
tau[48],4.208674023333334,4.2028,0.9655007018754576,0.9700132890000001,2.6291175,5.815210499999999,1.000512627730681,27161.253715104842,14065.583255743806
tau[49],4.191616785833333,4.18635,0.9739370211688626,0.982355934,2.6067190000000005,5.8125735,1.0002758069286963,28888.15804238222,13928.339837793452
tau[50],2.8928634558333335,2.936255,0.5221125903791333,0.4819413689999999,1.957331,3.677302,1.00019430211029,18925.860612315235,10588.638314619346
tau[51],2.613276079583333,2.65694,0.4327593361139567,0.39386010299999996,1.8113275000000002,3.254083,1.0000507216135122,18876.821874306635,11963.288339212382
tau[52],3.33784954625,3.3639099999999997,0.6360280130866351,0.596331372,2.2326305,4.338653,1.000501482431663,20948.456371261265,12541.271486605263
tau[53],2.62373426875,2.6682550000000003,0.44113690444914766,0.4039343700000001,1.815738,3.271429999999999,1.0003000696848001,18838.91558290354,11357.881926046946
tau[54],2.4253399404166665,2.472505,0.39449513963821603,0.3586780049999999,1.6869744999999998,2.996541,1.000341946339319,18117.53032649694,9727.461193279978
tau[55],2.2614904166666667,2.3171,0.3673085383444785,0.3284107259999998,1.5490460000000001,2.7693614999999996,1.000227255646938,13300.431291474224,5878.735349631446
tau[56],4.092120816666666,4.1082350000000005,0.886846277627666,0.8782700009999995,2.6012305000000002,5.526525499999999,1.0002045322788373,24812.241269133327,15327.173547476823
tau[57],3.983456770416667,4.005125,0.85268019574827,0.8451413039999998,2.53388,5.3481404999999995,1.000233905918098,24515.68931182286,14326.152987215728
tau[58],1.83175907625,1.88028,0.26211528942548756,0.24494034599999995,1.3193785,2.1849405,1.0007430060051463,21239.996921056605,10501.116178969605
tau[59],2.7884766625,2.83256,0.48564450376308793,0.44743385399999996,1.9020715,3.522179,1.0005592900695266,19251.081226270842,10857.794317733014
tau[60],4.184571586666666,4.192945,0.936897967999954,0.9403687019999998,2.6277345,5.726845499999999,1.000179333582897,24562.891177056183,15412.062964278737
tau[61],4.190439658333333,4.18666,0.9478167286021381,0.9571887989999996,2.6395625000000003,5.7590544999999995,0.9999599201307113,25323.385795765254,14698.024940361382
tau[62],4.208644215416666,4.207695,0.9662611677811799,0.980057903999999,2.6226435,5.804645,0.9999048318610023,30096.02995150551,15406.804343596174
tau[63],2.73382907375,2.77072,0.4682144822674716,0.4223927399999999,1.88381,3.4332179999999997,1.0001263968817344,19253.80872725208,10747.510968858849
tau[64],3.8914721845833333,3.9057950000000003,0.8023158974670942,0.7924422869999999,2.5406679999999997,5.1821115,1.0000455212234203,25479.889772179464,16067.20462606752
tau[65],1.9813103616666667,2.033205,0.2990562462302361,0.271278735,1.389062,2.3884724999999998,1.000182801138334,18510.307230282895,10098.031919690444
tau[66],2.9942847258333334,3.0281700000000003,0.5409406626301879,0.4970787149999996,2.0362575,3.8145494999999996,1.0001424511137595,18123.88005990886,10020.059494013423
tau[67],4.17217658125,4.16372,0.9655107136912319,0.9717775829999995,2.5955285,5.777231499999999,1.0001822735662531,32008.07561792111,13795.843804402022
tau[68],2.20665648625,2.25718,0.34270179872487994,0.31051574399999976,1.5524115,2.68445,1.00062686444878,17601.493290086546,9771.296145819982
tau[69],1.97121811625,2.026985,0.3028359725946287,0.27817282500000007,1.3753105,2.379466,0.9999598718180222,18856.881613265676,9992.970747582778
tau[70],2.5998687845833333,2.645195,0.43652794090156444,0.3932522369999999,1.8029545,3.2456995,1.0008819889373497,17866.24997166374,10170.030255188507
tau[71],4.203935505833333,4.204215,0.9599745026059007,0.9663142020000002,2.6417425,5.7945780000000005,1.0003298164930319,30138.990953884226,14853.543836783228
tau[72],3.5075852383333332,3.53704,0.6954616427864427,0.6605353649999999,2.3105485,4.5948484999999994,1.0000577829754027,22310.377852795376,13170.928272606609
tau[73],2.79447600625,2.8368,0.48844811535412386,0.4447874130000001,1.9094345,3.5256465,1.0007958060307407,16258.920034916084,8608.159404370974
tau[74],3.85207478125,3.877395,0.8059774067020574,0.787082688,2.4699359999999997,5.1392679999999995,1.000158451188484,21443.90665308644,12312.852545438858
tau[75],2.877447532916667,2.916265,0.5008838562294263,0.464320668,1.9929810000000001,3.6409905,1.000335669595895,18774.34049817668,11192.73865573861
tau[76],4.1427188925,4.1376550000000005,0.9713096077781903,0.976017819,2.5530030000000004,5.765514999999999,1.0000538018955987,34726.77601617284,14823.607772343905
tau[77],3.45574403875,3.47661,0.6665435578722008,0.6358130100000002,2.3161075,4.520230499999999,1.0002761692107232,24169.39470078636,14617.905214508402
tau[78],4.081443455833333,4.101195000000001,0.8846277289414313,0.8889373079999999,2.5883255,5.49455,1.0004772649071272,23385.263530784083,13648.724570572027
tau[79],1.5156838341666667,1.5511650000000001,0.19274932690889868,0.19138883400000004,1.1359495,1.7723639999999998,1.0006332541640273,19843.407202484523,9488.117378027293
tau[80],3.16655170375,3.19427,0.5737164833724322,0.5380651919999998,2.1670260000000003,4.0601895,1.0000438433579617,20804.97573890667,13790.355909754695
tau[81],4.1849521925,4.178319999999999,0.9732270879269541,0.9691904459999999,2.5937155,5.7953415,1.0000996852430348,31166.85238769891,14885.276066682709
tau[82],1.6077123866666667,1.65038,0.21682528339658366,0.20795688899999995,1.1780115,1.8949204999999998,1.000713744345734,20247.66364272013,9493.043018557522
tau[83],2.9397249279166666,2.972045,0.5087394298906694,0.47317920299999977,2.0399465,3.7176004999999996,1.000180828616624,19265.70196081826,12496.150455279094
tau[84],4.204217432916667,4.2004850000000005,0.949785775279029,0.9487157400000008,2.6452990000000005,5.797853,1.000533371437115,26685.500946456687,14564.82618202327
tau[85],3.917197000833333,3.94261,0.8301931760541661,0.7980687540000002,2.4921789999999997,5.250919,1.0001040993994406,23383.393735727634,12605.091891168535
tau[86],2.3876712520833334,2.437755,0.3852870707459222,0.34514928000000017,1.658897,2.9360545,1.0002682914121956,18569.310301352645,11208.483399807374
tau[87],4.1962019249999996,4.19436,0.9453360083053552,0.9462842760000003,2.6433975,5.761631500000001,1.000394258915473,25308.437956625883,15018.63895188119
tau[88],4.1699390225,4.16129,0.9721512420983807,0.9700725929999998,2.5765095000000002,5.769222999999999,1.0003868020668247,29737.91885616063,14125.761454268822
tau[89],2.648375313333333,2.691845,0.44951664665228014,0.4106653740000001,1.822562,3.3123020000000003,1.0001765370591729,19049.236059065504,10827.672464419335
tau[90],3.5041464358333334,3.5308200000000003,0.6761643339152035,0.6448049790000006,2.346656,4.57504,1.0001601357137335,21339.161641706836,11646.183121409145
tau[91],4.15854654,4.164175,0.9129301109788657,0.9140747909999997,2.6518574999999998,5.656662,1.000127809011819,23939.37017962253,15005.209552213042
tau[92],1.99704277125,2.0494450000000004,0.30091956064504477,0.2768607239999995,1.4093740000000001,2.4044645,1.000162296297784,16606.573089091584,9059.494919631305
tau[93],3.9418910583333333,3.96001,0.8191520627055596,0.8199000389999996,2.5499169999999998,5.261785499999999,0.9999285576349577,26592.323849974673,16744.02781855743
tau[94],4.210274944166667,4.19482,0.9579898579999241,0.9538900140000002,2.6581565,5.8080535,1.000152885415519,29171.695508395627,15400.70139912583
tau[95],3.4464093191666665,3.46787,0.6628425986117799,0.6257461560000002,2.3149504999999997,4.4956195,1.000172970322989,23481.262706146157,13069.565600347474
tau[96],4.2073558075,4.19905,0.9697090858884776,0.969131142,2.607715,5.809195999999999,1.0011575633374217,28053.896948529436,13834.905571161136
tau[97],2.1617364075,2.215815,0.3334774933957223,0.2989143990000001,1.516172,2.6240949999999996,1.0005276456231453,18968.478284369397,9428.818586094374
tau[98],3.9676294433333332,3.9905350000000004,0.8302871691278964,0.8119014120000007,2.5559554999999996,5.2945850000000005,1.0000875887236822,24271.320960044937,14091.423584861459
tau[99],3.781932977083333,3.7999400000000003,0.7689897533304305,0.7414853250000002,2.486223,5.0095814999999995,1.000132755659136,21287.162386329335,12871.261730167424
tau[100],3.5368049,3.563315,0.6884999594305633,0.6665917860000004,2.3520675,4.637318499999999,1.0006031309714098,22360.39053702188,13744.848680818359
tau[101],1.0678326908333333,1.06677,0.039254969632554614,0.04514517000000013,1.0074394999999998,1.13306,1.0001056706982492,24476.641930760557,13298.522931038016
tau[102],1.3057730116666666,1.326685,0.13320747497020463,0.14158829999999986,1.0571685,1.4918015,1.000079360831238,21799.423774908693,10213.592798127649
tau[103],1.3104202783333334,1.331295,0.1358718757122481,0.146080578,1.056569,1.5001615,1.0002730701237825,21721.91177674576,9700.942463311121
tau[104],4.051450567083333,4.062984999999999,0.8603882107680378,0.8601896939999989,2.6139665,5.445549,1.0002193378486806,25513.963175338347,15722.654586842596
tau[105],1.8488637579166667,1.89858,0.2701671078173593,0.25156015499999984,1.3224630000000002,2.210715,1.0002734764959464,18416.021841302685,9288.363929508205
tau[106],3.8929682616666668,3.911625,0.8100304636553679,0.7905223199999998,2.5186094999999997,5.198197499999999,1.0001821486072784,24128.23339162082,15325.989947289474
tau[107],1.7677532766666666,1.81631,0.2525676253120372,0.23323521899999997,1.274138,2.10382,1.0002725018733285,20154.056362986412,9855.492393003458
tau[108],4.196794629583334,4.198029999999999,0.9486640811180238,0.9551798759999997,2.638761,5.7541364999999995,1.0002094628596656,25152.806828872228,13717.56406824396
tau[109],2.8590517616666666,2.8947599999999998,0.4934960787047356,0.45965047800000003,1.97795,3.6049615000000004,1.0000348675605595,18364.034211640563,10431.990695964349
tau[110],4.199354440833333,4.1931449999999995,0.9733695269394582,0.9667070909999999,2.6071364999999997,5.8141345,1.0002333851466652,29194.033781180922,12846.899119170574
tau[111],3.93649080125,3.9614450000000003,0.8051327721268825,0.7956150510000003,2.5666439999999997,5.2233659999999995,1.0004324292632572,24118.581955318077,15080.719600430355
tau[112],3.6148557408333333,3.641025,0.7169970783464529,0.6738861780000001,2.3851705,4.758533,1.0000593608904125,20899.377593202364,13722.298283561884
tau[113],3.89987971375,3.92644,0.8157264612388737,0.7971050639999998,2.5107665,5.205351499999999,1.000054846844645,24734.60132991746,14743.84788371089
tau[114],2.261480028333333,2.31096,0.35793850482583,0.32043433799999954,1.580541,2.7647825,1.0007022046435317,16107.297090034046,8254.936867191529
tau[115],2.0612554558333334,2.115775,0.31757045620494906,0.29084905499999997,1.4438045000000002,2.4922315,1.0003925842273045,19001.329434268704,9883.48415792796
tau[116],2.67728818,2.720855,0.44987868345490883,0.41529849900000015,1.8550365000000002,3.3462439999999996,1.0007221059562148,18964.131707538247,11375.669053631034
tau[117],2.6282533170833333,2.6679700000000004,0.444818680041015,0.4129708170000007,1.8218295,3.284687,0.9999551755945328,18810.672868702623,10794.368850746521
tau[118],3.778365770416667,3.800475,0.7796261187881998,0.7555181339999999,2.4581685,5.026661,1.0002086755415593,21696.763304309585,12428.634926964713
tau[119],3.2053199383333335,3.237515,0.5923798488985864,0.5562418679999998,2.1697580000000003,4.1291785,1.0001728981020588,20025.790111962062,12317.607118709844
tau[120],3.9921191354166665,4.01119,0.8424533170930363,0.8382027359999997,2.5742785,5.3465180000000005,1.000340011937315,24968.22725641705,14613.85410846602
tau[121],1.8876349879166667,1.94083,0.28293177021461324,0.25892126400000015,1.3227974999999998,2.2618545,1.0002186881417368,18774.786437736482,8939.527451709537
tau[122],3.080816055,3.1162599999999996,0.5671966673348819,0.5259523499999998,2.077543,3.957806,1.0003470017099234,20077.444667742086,11387.603612208704
tau[123],3.4782164883333335,3.50121,0.6735340364605596,0.6435521820000002,2.3286345,4.551921999999999,1.000313774619881,20441.924622045586,13141.028181645665
tau[124],4.085600499583333,4.10206,0.8934740319151889,0.8886852659999996,2.5834105,5.530249499999998,1.0006675918784163,23743.191170440314,14084.870838190183
tau[125],4.207217582916667,4.198415,0.9596117929204757,0.9595757850000002,2.6358055,5.805984499999999,1.000181968621343,26999.194414527017,14061.43538337008
tau[126],4.159500689166666,4.169325000000001,0.9185591920595336,0.928352228999999,2.6418345,5.65592,1.0005876056708556,27385.505507223348,15916.529417872674
tau[127],3.2208930175,3.248925,0.6029165721470593,0.5643887550000001,2.1807320000000003,4.1673415,1.001071784786378,17863.921191127603,10343.894710031336
tau[128],4.205256752916666,4.200855000000001,0.9673486135690395,0.9643275179999987,2.6109485,5.789698,1.000299928369577,26741.999992374076,13687.249253024625
tau[129],3.500524085,3.5262450000000003,0.6806895595885114,0.6507724439999998,2.330192,4.5793865,1.0001561639179957,23498.570448554816,13770.646824813832
tau[130],4.20052947375,4.19679,0.9735902457164198,0.9875450339999997,2.615205,5.8200804999999995,1.0000124863479678,29206.57430933115,14643.320565278349
tau[131],2.9977781375,3.0348699999999997,0.5350324708549323,0.49948052700000056,2.033837,3.8170385,1.000395142089131,21345.341620992112,12596.392532010535
tau[132],4.199963449583334,4.200325,0.9516331195490976,0.9513325289999999,2.6237820000000003,5.7758145,1.0003659778337888,24959.59667926018,14124.122592069845
tau[133],3.3167638725,3.347735,0.6274315256581483,0.5923950690000003,2.22374,4.288906,1.000200572281533,22112.199363445437,13186.562205106939
tau[134],1.8575457933333333,1.9093049999999998,0.27609096503616865,0.2533244489999999,1.3092055,2.2287410000000003,1.0002311841919829,18033.154967163548,9092.858008437053
tau[135],1.82939784375,1.8770600000000002,0.26378847407098477,0.2409224999999998,1.3054235,2.1830445,1.000324588298093,20637.679433402875,9254.642070264612
tau[136],4.153933929166667,4.168044999999999,0.9020769712490896,0.9097159470000008,2.6467395,5.6154975,1.0002384793874113,26429.13039779002,15097.028463699306
tau[137],2.9153139066666665,2.95299,0.523981880196757,0.4810814609999998,1.9754390000000002,3.7079444999999995,1.0006907043835054,20119.133369838455,11225.579792751198
tau[138],3.9366074879166666,3.9538849999999996,0.8298963090593164,0.8176983779999998,2.549786,5.2772435,1.0000024051752379,24872.477106591683,15117.149344241547
