variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],626782651.4,620695000,35733913.15295671,31966338.599999998,580317550,694051050,1.0001966256889927,61634.134092765096,21931.07160331016
A[2],208157.63096666668,206914,7328.29414796866,6438.1905,198700.9,221691.05,1.0000677458537364,56982.16106976829,21234.205504238067
A[3],2706687.1836666665,2690475,99505.93624075821,87080.511,2578460,2890071.5,1.0006184401865297,55273.68213890594,22234.95568802404
A[4],717588.7323666667,717533,5895.587971508021,5883.6981,707991.8999999999,727361.25,1.0002803170276866,64127.418657434646,22017.017239071494
A[5],212498.63556666666,211727,5193.62711590936,4653.881399999999,205544,222127.19999999998,1.0003799902999515,57574.5327607705,21533.819422627323
A[6],3663166389,3628330000,365977313.3193634,357395556,3127266000,4319359000,1.000244480132093,63688.73876311733,20793.791003686852
A[7],3076320.3733333335,3037320,261859.5278534878,246148.66499999998,2717950,3562095.5,1.0003240531658284,61970.432055412435,20566.42986480456
A[8],620562.7076666667,619944,7901.432472561236,7347.0243,608815,634501.25,0.9999678736150278,52524.661583210516,22378.39411684071
A[9],5719154.711666667,5663450,561240.9377247316,543669.4199999999,4905672,6731168,1.0001071327509545,65232.86020722194,19601.464248200427
A[10],133164.58566666668,131729.5,11837.936192902804,11418.9852,116640.95000000001,154726.1,1.0002320559197226,64593.148175100636,23028.266312771208
A[11],916117.6096666667,913002,20898.65479414038,18661.4862,888204.75,954288.15,1.0000976895897637,55905.46280118347,22623.015347638888
A[12],13970294.256666666,13821300,1319658.5362781389,1261692.5999999999,12078790,16378470,1.0001695487311324,60075.42705391179,22101.836785514584
A[13],2811096.365,2778410,194481.52323973135,176918.658,2556939,3176421,1.0001158473698444,63990.719400144786,21216.48985422421
A[14],228215.76726666666,227022.5,7280.256991674861,6442.6383,218724,241871.05,1.0003544434528455,51495.56908525537,19023.197345193425
A[15],494873.1620333333,488899.5,40969.66754735032,38360.0511,439040,570985,1.000389428170799,66311.82559636641,22042.562796961993
A[16],2090370.4323333334,2071035,210587.8005460455,205644.033,1780327.5,2468082.5,1.0001092392050572,62834.81899239976,22189.472720754442
A[17],214488.83223333332,214226,3000.8130909462807,2791.7358,210119.94999999998,219829,1.0000636699783554,57932.07384334476,23421.73681795083
A[18],380294.45636666665,378988,9081.838560542177,8135.026199999999,368163.85000000003,396978.25,1.0003872724109577,55703.311496969334,22730.111853598068
A[19],28407.55751,28079.800000000003,1974.6838964440096,1793.1305699999955,25827.190000000002,32089.39,1.0004892330550135,60501.897789204784,22694.593084221015
A[20],76034758896.66667,76021400000,667189038.2172606,671617800,74965890000,77146710000,1.0005324898227095,63118.412246029715,22638.31841711208
