1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
5,5,5,5,5,5,0,0,0,0,0,0,11083.2,11065.3,11116.5,11184,11017.9,11113,0.980127,0.966178,0.853677,0.891722,0.881628,0.817926,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11038.3,11092.3,11135.7,11255.6,11055.5,11134.7,0.913759,0.963852,0.633634,0.759192,0.753666,0.775464,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11134.1,11094.5,11180.4,11170.9,11085.1,11086.1,0.797131,0.998331,0.977507,1,0.903409,0.832681,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11181,11075.5,11127.7,11109.7,11113.6,11149.4,0.675561,0.964662,0.938394,0.999281,0.983281,0.878225,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11083.1,11111.9,11032.7,11160.9,11129.5,11108.2,0.964742,0.915479,0.872715,0.81898,0.859213,0.967947,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11184.5,11108.2,11094.1,11039.6,11082,11150.9,0.633519,0.729278,0.603817,0.940781,0.932431,0.895284,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11078.7,11160.5,11114.3,11062.1,11036.3,11168.9,0.989282,0.850474,0.949759,0.502081,0.927615,0.923603,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11165.1,11034.4,11141.4,11103.1,10964.7,11178.6,0.677624,0.959859,0.754364,0.767685,0.938045,0.999912,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11217,11128,11104.2,10992,11048.8,11215.1,0.843705,0.984199,0.586875,0.899733,0.742748,0.905753,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11175.6,11075.7,11152.8,11067.7,10987.8,11151.9,0.980752,0.991211,0.808172,0.970737,0.807662,0.981226,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11168.3,11109,11217,11090.4,11009.4,11111.6,0.858484,0.802372,0.593921,0.802314,0.69895,0.954834,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11057.9,11036.1,11202.5,11061.1,11071.3,11152.8,0.983605,0.826578,0.972107,0.720912,0.871437,0.582347,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11046.6,11098.9,11071.5,10992.1,10997.6,11181.5,0.889248,0.781761,0.954989,0.819022,0.729364,0.787507,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11064.3,10982.2,11133.2,11144.4,10973.9,11103.9,0.908885,0.976403,0.960571,0.481814,0.69686,0.896001,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11050.8,10944.1,11109.3,11108.8,11014.9,11123.6,0.96287,0.817372,0.999703,0.948984,0.749247,0.977593,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11129.2,10930.8,11101.3,11089,11007.9,11152.2,0.777833,0.927764,0.972781,0.98568,0.604782,0.733627,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11072.1,11045.1,11068.1,11142.3,10998.7,11179.9,0.98488,0.846795,0.887173,0.818148,0.862576,0.902692,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11025.4,10983.1,11097.2,11052.8,11015.6,11032.3,0.994805,0.804883,0.973205,0.970655,0.931653,0.797807,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11015.8,11064.7,11078.6,11018.9,11027.6,10973.3,0.950136,0.825071,0.888985,0.749933,0.968748,1,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,10985.1,11024.9,11059.8,11090.4,11003.8,11102.9,0.935418,0.887971,0.891079,0.74051,0.990281,0.563322,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,11045.4,11001.3,11209.2,11038.9,11086.7,11113.1,0.773282,0.763029,0.619503,0.997797,0.739873,0.607328,0.157681,0.155104,0.15384,0.175699,0.155264,0.170514,31,31,31,31,31,31
