variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],3.981481274666667,3.93363,0.4705532398299747,0.456433236,3.294278,4.825788999999999,1.0000236107791247,66531.52957586791,21637.02941206736
tau[2],3.357282843,3.323245,0.35414355425910005,0.33921887999999983,2.843658,3.995762,1.0000410147869294,61554.92235084372,21879.905033048577
tau[3],3.4038169246666667,3.36989,0.3631162793887759,0.346231578,2.8755219999999997,4.053125499999999,1.0002923370775276,65409.012471516835,21609.45302327779
tau[4],2.0130631426666667,2.008615,0.11508333625667291,0.11261088299999981,1.830868,2.2098725,1.0005802194698605,54586.486120261805,23072.09760643163
tau[5],3.0336045473333333,3.007745,0.2877565390893977,0.2811231990000001,2.6115875,3.5421324999999997,1.00007585900138,58970.03832666403,22080.063873955565
tau[6],6.201368903,6.169855,0.6654093867091326,0.6663693959999996,5.1662225,7.343169,1.000345740842007,77674.97719805507,21861.977397488947
tau[7],4.941983105333334,4.89264,0.6049555006506753,0.602217294,4.0328135000000005,6.0104574999999985,1.0000126411146935,74083.83019046226,21731.63272227851
tau[8],2.530665323,2.51861,0.19254826871620664,0.18780094200000008,2.238388,2.8655975,1.000464713919136,57644.08448537757,23038.618381414177
tau[9],5.946193163666667,5.915305,0.6578314718335938,0.6582595739999998,4.9159545,7.080248999999999,1.000177689934101,75888.25911742651,21836.755003762184
tau[10],5.202390480666667,5.16078,0.6339235320761695,0.6329738310000004,4.234613499999999,6.3039179999999995,1.0000544095846087,69893.87374328126,22898.272571195248
tau[11],2.986313494,2.9634549999999997,0.27662582895390203,0.26405106000000056,2.5760294999999998,3.4758569999999995,1.0000112563047405,62991.629294276056,22719.00495093595
tau[12],5.548181477666667,5.514654999999999,0.6439302142137809,0.6453313019999993,4.55064,6.6595200000000006,1.000488582269315,71059.13956620578,21075.21462043186
tau[13],4.305446678333333,4.253080000000001,0.5284578187454476,0.50905071,3.5312115,5.2619240000000005,1.0002480236326503,64070.87943139143,21783.854168788122
tau[14],3.274454125,3.24004,0.3353306872635355,0.319396518,2.7845045,3.8755234999999995,1.0001599018765714,66433.76677064292,21544.08226299263
tau[15],4.824481216666666,4.77998,0.5956246360196167,0.5881177679999998,3.924226,5.8707295,1.0000946801348962,76068.37759852537,20384.587087597207
tau[16],6.418054146333334,6.38969,0.6763284689514322,0.6774444179999998,5.357454000000001,7.568070499999999,1.000320211347244,73433.25630076528,20658.888774696723
tau[17],2.599438987666667,2.5845450000000003,0.1999910604907489,0.19407975300000038,2.2943689999999997,2.9504645,1.0000275892282418,66174.35135431589,24811.909016113572
tau[18],3.015808858333333,2.991485,0.2818573260810076,0.2691882689999999,2.601807,3.5173514999999997,1.000368554729442,66162.39697974463,23771.041152611706
tau[19],4.307276835,4.26028,0.5231796350960272,0.5071010909999998,3.532657,5.238312,0.999956738342644,69104.66732031475,23567.830222247467
tau[20],2.1485972256666668,2.141705,0.1319009310796569,0.1290529169999997,1.9450390000000002,2.3765955,1.0000893169753764,53289.40177640362,23187.221584870145
tau[21],2.897911441333333,2.876265,0.25673511737280047,0.2471197679999999,2.5187475,3.356093,1.000189498907188,58581.03240022136,21872.448904422046
tau[22],2.411904937666667,2.401935,0.1691870959310543,0.16450188300000018,2.152579,2.708096,1.0002535872578435,58930.68772078608,23580.460588570626
tau[23],2.811804189666667,2.7926349999999998,0.24030899967178537,0.2311299269999995,2.4542485,3.238323,1.0001362036736778,59289.05059185022,23209.577828320333
tau[24],3.862886452666667,3.8163150000000003,0.46181796507076806,0.4466999670000001,3.1900195,4.691323,1.0000669976141892,65216.61864951259,20981.470257966088
tau[25],3.9631924233333335,3.92021,0.4694991550749174,0.4553954160000001,3.2787195,4.7979525,1.000272688273985,67028.26770159823,22246.47890097605
tau[26],4.181283274,4.13568,0.5092661389909324,0.49974739499999965,3.4311495,5.091254999999999,1.0002543790011202,65678.98198763317,19961.415168367555
tau[27],5.432449979333334,5.391745,0.6468402748471308,0.6383704950000002,4.4411095,6.5566770000000005,1.0004750896541201,71455.36949742778,22265.420388330152
tau[28],3.59905696,3.562335,0.39953763040885415,0.381613827,3.0131935,4.3133085,1.0000316646928082,64653.08954082297,22275.601903936906
tau[29],1.9337150796666667,1.9304700000000001,0.10561519932549768,0.10321861200000018,1.7653995,2.112792,1.0000782606398133,55018.06895142822,21608.956947215822
tau[30],5.705303611666666,5.6698450000000005,0.6537547103606799,0.6553017869999992,4.6811225,6.827802,1.0010166064831776,70623.36210110331,20724.469548452955
tau[31],3.299567837,3.26405,0.3439081485889223,0.3321913559999999,2.8018170000000002,3.9147149999999997,0.999969580398556,64578.751529702306,22181.46026887263
tau[32],1.9826021733333334,1.9791,0.11046994552534233,0.10931951100000015,1.8077695,2.1706305,0.9999559741794376,55423.86572078736,24363.27801491275
tau[33],6.144403654,6.113205000000001,0.6701189931694583,0.668993597999999,5.0941225,7.2971425,1.0008546155555775,74369.00464203466,21812.3737860077
tau[34],4.343535909333333,4.29887,0.5362203328312948,0.5246847270000001,3.5516200000000002,5.2986865,1.0005861703878187,65493.23916604734,21296.50309089667
tau[35],4.361297312,4.314105,0.5351667547506737,0.5294883509999999,3.5741964999999998,5.314343999999999,1.000215720052971,65879.2951417257,21952.55161258889
tau[36],1.8188262226666667,1.81701,0.09261521444883304,0.09097233600000011,1.6695795,1.97318,0.9999491535934195,50695.37173856022,23623.649443913982
tau[37],2.9172620056666667,2.8935649999999997,0.25944632222558967,0.24664533599999974,2.5315395000000005,3.37886,1.0001516332000615,63262.97714859557,21867.991365951177
tau[38],4.962816098333334,4.916805,0.6109322406254517,0.6097859670000005,4.0442505,6.03418,1.000040530574118,70103.22663552887,21299.166285350402
tau[39],4.203361676666667,4.15576,0.5077834902602238,0.49265315400000026,3.4587745,5.106577499999999,1.0001387910430615,68989.11486774597,22233.241107930517
tau[40],5.4178684913333335,5.378125000000001,0.6415641670259525,0.6400458329999993,4.435315,6.539725499999999,1.0002138004005698,71356.77080206387,20928.79296337251
tau[41],4.575053824,4.52539,0.5678506741039405,0.5546110079999996,3.7311195,5.579915,1.0002277261551833,70837.29475414859,21699.139342349517
tau[42],4.8563106,4.813515,0.5882922754356981,0.5820094560000006,3.9660630000000006,5.905191499999999,1.0003427005595893,72402.02974596605,22812.13774009135
tau[43],5.0032453483333335,4.958035000000001,0.6137468868088328,0.6107793090000011,4.075921999999999,6.0758624999999995,1.0001860899515733,69478.58727970412,21282.867009949074
