variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
x[1],3.36372427875,3.360285,0.37983480776980033,0.3860097360000002,2.7403965,3.9971224999999997,1.000203564610656,51725.692341867856,18665.716904144057
x[2],3.98365524,3.9896849999999997,0.38563948219265426,0.3950387700000001,3.3454035,4.6088135,1.000433486032746,49028.07972649944,18369.150168196644
x[3],3.931860715,3.934605,0.3900637463916838,0.3928741740000001,3.2908890000000004,4.566584499999999,1.0003973358979337,54634.3019762723,17316.944202315717
x[4],6.599288520416667,6.6038049999999995,0.3320754865234277,0.33443749500000075,6.0519175,7.146823,1.0000495061997203,41970.67926784812,18126.784203770345
x[5],4.401054780416667,4.404815,0.3884046583044349,0.38984967,3.7594475000000003,5.040105,0.999897980703538,50442.04733020224,17565.141628936362
x[6],2.1127002833333335,2.099205,0.22716581124192728,0.227386362,1.761738,2.510481,1.0003706002015897,59860.27959046652,18864.068685769726
x[7],2.7021208325,2.690415,0.3224468626482896,0.32225793599999997,2.19369,3.2581504999999997,1.0000532479446205,57604.00279933804,17710.813912827904
x[8],5.260925502916667,5.2661750000000005,0.36287420776673146,0.36151718400000005,4.656566500000001,5.8534365,1.000051994202348,45548.651207021954,17738.940609322264
x[9],2.2124827291666667,2.198155,0.24348161112388575,0.24548149500000002,1.8357014999999999,2.635666,1.0007566527570428,57593.81857232093,17551.067541159286
x[10],2.5615656045833335,2.5465150000000003,0.303162899460081,0.3057417720000004,2.088952,3.0830104999999994,0.9999914968020354,54571.64215031854,18142.927008778624
x[11],4.472934503333334,4.477665,0.37756368952290276,0.3761652719999999,3.8420150000000004,5.088313,1.0000806656610095,47150.7544106403,16547.807714204297
x[12],2.390493412916667,2.374615,0.278061489568729,0.27868432200000026,1.9578119999999999,2.8744210000000003,1.000438388944272,56776.18021534668,18322.789513544012
x[13],3.1099625529166666,3.10251,0.3633098653849177,0.36635787300000017,2.5199595,3.7192214999999997,1.000019333613973,52365.265113936315,16519.434246777757
x[14],4.079676699583334,4.08505,0.3920474056835781,0.3961358940000004,3.424118,4.717680499999999,1.0002674567907013,51193.81938563617,17827.9880293995
x[15],2.767425349583333,2.754925,0.33273666189042755,0.33647606999999996,2.2390405,3.3367509999999996,1.0005126535677162,55678.890548840915,16277.312292456312
x[16],2.02854903,2.0166250000000003,0.21355072563181918,0.21299772900000055,1.69879,2.400941,1.000321214759476,58187.468911928634,17834.253058608476
x[17],5.12085653,5.124495,0.36563953790913284,0.36346680300000067,4.508797,5.716982,1.000160539784862,46894.17536707563,17557.583887065164
x[18],4.42571713375,4.4312450000000005,0.38504068822534415,0.38371170599999993,3.7852435000000004,5.051328,1.0002262070737071,49725.157585062436,17446.28905802686
x[19],3.109554527083333,3.102355,0.3654586773946267,0.3718138409999997,2.5244820000000003,3.719463,1.0005042790359038,54766.47039277721,18045.193822320274
x[20],6.184013367083334,6.18611,0.340673704389483,0.3397377899999996,5.6193495,6.737793,1.000056555285927,41051.052188097834,19260.631486503768
x[21],4.602471985,4.610469999999999,0.37451562659577364,0.37110960600000037,3.9794115,5.2027905,1.0007748224838795,51556.9701154518,18609.415215197147
x[22],5.514592912916667,5.51951,0.3543336214653241,0.35593519499999937,4.9229235,6.0892715,1.0008965069851556,46242.330422962186,19354.909569124546
