variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],605761723.9333333,596871500,42755708.67558622,35237695.5,555848600,685039300,1.0000523596197035,18221.922701734915,16414.004323319958
A[2],202884.637,201664.5,6992.036991035383,6113.5010999999995,194082.95,215697.05000000002,1.0001061401243845,19469.47548726711,17969.16058479435
A[3],2634100.1823333334,2618210,95375.73773139765,83566.749,2513090,2808605.9999999995,1.000402453859835,19073.14983144602,18738.502841064863
A[4],716276.1062333334,716263.5,5906.874569425056,5870.3547,706630.8999999999,725965.2,1.0000726538155131,40838.90371668071,21919.030886754656
A[5],208683.53463333333,207951,4849.433281072348,4354.3962,202238,217520.1,1.0000783669520013,20375.218719812332,18583.53041040322
A[6],10806822844.666666,9837505000,5717632093.734557,5787662685,3630147500,21266919999.999996,1.0002876629184423,21712.245527571362,21340.27473498452
A[7],3412473.1276666666,3107490,1139139.2895288498,543521.1599999999,2530904.5,5212818.499999999,1.0002824724492596,14630.748784489482,11023.674105645501
A[8],615733.4657,615106,7663.0731329202945,7298.8398,604369.9,629152.25,1.0001064871951721,27839.408179725076,23237.620195732212
A[9],14108919.373,12338000,7387115.470293171,7220958.822,5244248,27855605,1.0001451501325924,19377.097862834973,21263.78181673305
A[10],174019.68839666666,147335.5,83816.5382278638,37992.3663,109468.9,339913.94999999995,1.0007189416116644,14121.733616485622,11938.61999219175
A[11],900844.3297333333,898037.5,19756.40537378664,17977.2663,874333.9,937380.3,1.0004459527001792,20063.18200700411,20337.593154049944
A[12],24976864.162666667,19978750,14001906.556862405,8954755.74,11761495,56536184.99999999,1.000391481822845,14584.848205628346,12896.564042186434
A[13],2744317.3906666664,2677900,308046.86157339043,218364.74099999998,2424580,3274835,1.000146045758721,17237.89355009942,15231.951254889238
A[14],222826.09963333333,221705.5,6931.11822617164,6238.0395,213911.94999999998,235644.05000000002,1.0001083523136274,19017.71596429739,19596.3407130423
A[15],524670.5217666667,489555.5,139995.47247323475,73488.77549999999,409906.85000000003,744635.75,1.0000892210017744,16026.616906708645,13628.002675853131
A[16],7232637.873,6596035,4001926.4345617467,3884389.761,2193025,14600494.999999998,1.0002399795458112,22932.81065652552,21590.768558642034
A[17],212607.07273333333,212358,2840.613400305093,2701.2972,208432.9,217623.05,1.0002030227584109,25844.184257351044,22594.386492396654
A[18],373584.0217666667,372406,8472.86522812671,7794.0282,362164.95,389097.14999999997,1.0000754772003773,21830.039032144996,19872.43453616941
A[19],27714.12128666667,27016.85,3063.9092143053667,2213.0770199999984,24466.885000000002,33187.565,1.0004011141284541,15326.856826704605,14496.177429433816
A[20],75803819166.66667,75790050000,657603202.630869,652195740,74744590000,76913915000,1.0002347623800396,36911.478986279515,23692.55758582722
A[21],254668.44156666668,253997.5,4998.718016489744,4547.8755,247797,263927,1.0003180631495032,19894.423254654586,19661.690544808756
A[22],1330244.4236666667,1329360,14314.879286956628,13758.527999999998,1308400,1354890.5,1.0002767132095618,31026.8431901964,23595.369966487906
A[23],82970546.18666667,82783600,1464745.7705856466,1343087.3399999999,80927885,85593225,1.0000964910107661,23239.50052421015,20088.37318068561
A[24],58553972.56666667,57841600,3705096.8116112063,3038069.79,54248870,65285405,1.0000041447541557,18816.606572314417,16994.495038675443
A[25],827042.8941666667,815275.5,56702.08641856229,46614.4266,760490.95,932721.5,0.9999609839607789,17175.14477517156,17799.188958381023
A[26],1185642.5366666666,1162740,109633.46247617622,82684.602,1065789,1379573,1.0000689058337753,17270.620891869683,17013.52396459499
A[27],2426863.2486666664,1947995,1335346.744432115,750699.684,1247439,5455231.5,1.0003217466033685,14533.28533974112,12180.491183181344
A[28],1475264.316,1462955,67665.37228863107,58362.549,1392430,1600481,1.0001838265333225,18081.169316173684,17160.80979759989
A[29],48423175.60333333,48422150,389590.8589401386,386884.47,47777700,49066200,1.0001685276434544,41019.794796197966,21885.989241155174
A[30],2348879.0804666667,1926955,1299755.944288005,1029547.092,985492.4,5025016.5,1.000173227819321,16608.242105144785,16997.42384061226
A[31],468078.40596666664,465372.5,15215.14834560162,13416.7887,448747.9,495842.10000000003,1.000094962525824,19407.963616103283,18580.104409444855
A[32],382428.6543333333,382419,3081.9024037427644,3106.047,377407.89999999997,387525.05,1.000219078148558,40781.76537143802,23557.80897625842
A[33],196554047553.33334,178911500000,101901532264.10648,104082226500,68081825000,381290249999.99994,0.9999883492818874,21412.808354242265,21703.03916043933
A[34],174416.64636666665,170046,20410.546295603643,14416.061099999999,153473.8,208855.15,1.0004807863874474,16769.559325978767,15028.133176334013
A[35],145265.11776666666,141439,17076.81874779909,12309.2865,127431.90000000001,175623.64999999997,1.0001482970465942,15235.600441846971,14991.641877281021
A[36],423018.7023666667,423016.5,3324.7138180872257,3334.3673999999996,417555.8,428468.1,1.0003537735022834,41509.41434758545,21552.893992993548
A[37],5726328.096,5710325,115197.92033630545,105850.227,5570219.5,5936890.5,1.0004473602789101,21792.29683422968,19716.49720823978
A[38],13934782639.333334,12625000000,4872425274.240175,2259556530,10219395000,21618210000,1.0005555693184298,14539.976323888384,13399.619768372631
A[39],197374.17603333332,193346.5,18788.36537553924,14213.6862,176750.95,230966.55,1.000503557978793,16067.631811104564,15381.218625282867
A[40],546557713.8,440051500,299588812.6949705,161885835.29999998,288176250,1229163000,1.0005238428868788,15078.146854863277,13235.052308464705
A[41],342813.402,329048.5,62057.86056911789,36852.9882,287695.7,437845.5,1.000502361204006,15296.367816730217,14779.379826317372
A[42],14482102.1,13416750,4269071.724690424,2097508.35,11147100,21024689.999999996,1.0005851943846098,15788.56661263206,13487.17865136602
