1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,6626.21,6590.82,6576.73,6757.93,6710.74,6717.29,0.752375,0.739151,0.98669,0.700692,0.937846,0.694676,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6576.51,6663.21,6541.86,6725.45,6644.77,6678.24,0.720897,0.945114,0.903038,0.954568,0.953282,0.765349,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6615.09,6651.5,6531.62,6732.07,6653.58,6586.48,0.42268,0.795145,0.973341,0.586177,0.988165,0.992108,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6569.4,6583.34,6588.11,6657,6677.42,6543.21,0.956763,0.970602,0.991034,0.961122,0.926458,0.816255,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6471.62,6568.73,6559.18,6649.26,6610.93,6636.18,0.832019,0.988935,0.665705,0.90109,0.837277,0.822464,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6489.86,6571.93,6704.04,6670.14,6585.82,6565.03,0.798476,0.923721,0.931582,0.791081,0.719865,0.856999,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6659.1,6644.11,6676.36,6694.01,6660.48,6543.38,0.370359,0.862444,0.856143,0.992206,0.568895,0.936421,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6635.03,6657.37,6572.54,6611.28,6597.85,6549.77,0.96187,0.927209,0.949175,0.937558,0.829432,0.993714,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6658.94,6606.27,6560.65,6625.62,6648.28,6541.47,0.87752,0.652832,0.683142,0.61567,0.978197,0.957755,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,6657.1,6716.8,6555.1,6626.37,6616.39,6598.27,0.981918,0.813591,0.695494,0.724176,1,0.947315,0.0300954,0.0326565,0.0318944,0.031224,0.0288298,0.0280078,127,127,127,127,127,127
