variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],2.99868503125,3.03705,0.9842659371262373,1.051674897,1.3608035,4.565111999999999,1.0001025532368113,12054.78456516212,9633.298660315226
tau[2],2.4766496208333333,2.5234050000000003,0.7192546508717361,0.7969271519999993,1.2493690000000002,3.595503,1.000790507753593,11263.99441350933,7634.800564646608
tau[3],2.51520964125,2.5700450000000004,0.7408040687212231,0.8188770450000002,1.2532900000000002,3.6571324999999995,1.0003240035957455,12519.544190465242,8864.774612445028
tau[4],1.6138122754166666,1.63648,0.31581676514578744,0.373793112,1.08148,2.0851505,1.000434354209881,12101.99627754697,8002.2941367214535
tau[5],2.2560087554166666,2.3017149999999997,0.6170446790054865,0.6970295639999996,1.1965625,3.1896424999999997,1.0002828705001274,12890.49032940947,9486.469385847884
tau[6],11.758498090416667,12.020199999999999,4.970800521590356,5.990712168,3.3020585000000002,19.19822,1.000426531791303,15342.124269801714,13681.434778035939
tau[7],4.732616142083334,4.4879549999999995,2.2225579574540304,1.8886767269999996,1.703116,8.639306999999999,1.0006130349618911,10262.215099637448,10589.708400097974
tau[8],1.9433573358333334,1.98605,0.46536144119668804,0.5384580810000001,1.144539,2.6359340000000002,1.0003159270187545,13140.625831781792,8398.434640986346
tau[9],10.891224096666667,10.78195,4.888463531757592,5.797677648,3.074316,18.891909999999996,1.0003421929456775,14300.501213717016,13613.526787577299
tau[10],5.9664784925,5.405889999999999,3.1937164714593806,2.545661264999999,1.908218,12.310934999999997,1.0002452407026887,10616.54877149948,10391.745797789808
tau[11],2.227924395,2.27618,0.6041990779696718,0.681632763,1.1960080000000002,3.1424125000000003,1.0004721206881522,13049.63333019288,9591.922999003196
tau[12],8.271528895,7.4257349999999995,4.366252663090188,4.146965633999999,2.3541684999999997,17.021924999999996,1.0005116913800332,10976.17497776369,10788.345614454933
tau[13],3.3699161833333333,3.375495,1.1981499950752947,1.217236839,1.457018,5.3196699999999995,1.0002758954277728,11390.484683573844,9676.081537233928
