variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
x[1],3.7571438741666667,3.730445,0.5883597392233881,0.5901489300000003,2.8284135,4.7815135,1.00007825383027,13448.324074958911,12606.864265510685
x[2],4.459680958333333,4.44261,0.5321777589899405,0.5406968070000003,3.6133685,5.3757019999999995,1.000252933289818,13738.029464912268,13679.815451206763
x[3],4.402808934166667,4.38164,0.5435860031315628,0.5560639560000006,3.5472725,5.336907,1.0002484966496539,14902.243184105748,13390.094636305392
x[4],6.929595871666667,6.931165,0.3903861888721126,0.3999239370000005,6.289917,7.572206499999999,1.0001343842219863,16698.270807789948,17006.965308480587
x[5],4.873498513333334,4.8576,0.5018427736836697,0.5110596329999997,4.07066,5.73044,1.000353052329952,15949.641447396369,15000.943003857241
x[6],1.051644827625,0.8987925,0.5022354671691154,0.3528291479999999,0.54701545,2.093066,1.0003087064833434,17757.992385359106,16328.492873446488
x[7],2.621575937583333,2.6003249999999998,0.706438536419195,0.6851910030000005,1.4812035,3.8591034999999994,1.0005833722901634,11564.836313978982,11195.36680539975
x[8],5.67540483125,5.663755,0.44993180923831305,0.4615926839999999,4.949659,6.432639999999999,1.0001460462110345,17237.239942776887,15563.588925257807
x[9],1.2311849221666666,1.072195,0.5700770278976004,0.47142899369999997,0.6255403,2.3967074999999998,1.0000090347861539,15863.832752755487,15939.85178043266
x[10],2.219611784375,2.1889149999999997,0.735131918674927,0.726763107,1.0420045,3.5341615,1.0002923706770186,11569.96932424203,10183.905434584054
x[11],4.9366669708333335,4.9191,0.4992700958574175,0.5096289239999993,4.131787,5.7828305,1.0003078541866592,15932.855853872737,15161.874336641142
x[12],1.694425311625,1.601035,0.7045196611934922,0.7258809599999998,0.741321,3.028236,1.000388323056124,12070.435081988338,11502.779295650122
x[13],3.4044824870833335,3.38164,0.6201207503662116,0.6124842990000001,2.4167195,4.4798165,1.0001891625122263,13052.795835855177,12170.950090256429
x[14],4.563588645416667,4.547785,0.5255832088116356,0.5318012070000006,3.7220489999999997,5.462714000000001,1.0005049294117325,14408.785915200215,13387.664315948174
x[15],2.7763448493333334,2.7450099999999997,0.6958044421356738,0.6822035639999999,1.6725750000000001,3.9963029999999997,1.0009454222737633,12281.341904507592,11930.354635219684
x[16],0.9178182385833333,0.779188,0.4483384857981282,0.29622644519999997,0.4730147,1.8410925,1.0003123133853113,18239.93572605684,16061.941000666546
x[17],5.552075457916667,5.54441,0.4630939768191735,0.4688648369999998,4.802166499999999,6.329511,1.0001366858649667,14220.57668055193,14719.909986653494
x[18],4.90119793375,4.885085,0.49954450128829037,0.5038912619999998,4.104295,5.754624,1.0000477417441498,14477.797746591172,13172.075201682412
x[19],3.4034132979166665,3.375975,0.6198101442194937,0.6186148499999998,2.433967,4.486932,1.0001867354706122,12630.43226221174,11419.634455925265
x[20],6.53930940125,6.535534999999999,0.40938417392061544,0.41744826899999943,5.8624685,7.2116880000000005,1.0003347723442988,16549.767995316757,16954.833465399002
x[21],5.06478029125,5.04516,0.4957011617654599,0.5054554049999999,4.270767,5.896731999999999,1.0000389195833868,16083.870874407367,14886.46182980646
x[22],5.919291135416667,5.91367,0.4403343103369501,0.455780892,5.201554,6.6520985,1.000175272187211,17336.942701924247,15981.3392368506
x[23],5.1958935775,5.184145,0.48378337817825884,0.4989023129999997,4.418715000000001,6.00966,1.0001306614689525,15377.622849377896,15247.471803829058
x[24],3.88616019625,3.8579499999999998,0.5859708628937298,0.5875840319999996,2.9539180000000003,4.906257999999999,1.0005963660832773,12827.571482103025,10977.202737785268
x[25],3.7836588920833334,3.759385,0.5931812215861988,0.593974038,2.8432155000000003,4.806796,1.0005122870324836,12593.430105555168,11633.217404541754
x[26],3.5524215805833332,3.526045,0.6154293612101946,0.6080661509999998,2.5791435,4.627395,1.0000096040019208,13081.883573438823,12360.289164683589
x[27],1.8507455402916666,1.7824149999999999,0.721874749672957,0.7524269129999998,0.80503545,3.1730549999999993,1.000783736352081,12031.595632508108,11326.730520427074
x[28],4.182107789583333,4.159965,0.5594925971143953,0.5588512440000004,3.2977585,5.1546425000000005,1.0003422050334678,13076.490832719697,12968.93579400343
x[29],7.170138790833334,7.170904999999999,0.37846253178025385,0.3881743320000009,6.541862,7.7875525,1.000079139159496,19733.204694285134,16817.642264538226
x[30],1.477563184,1.3517700000000001,0.6557167116111741,0.6476389689000002,0.68452195,2.7538384999999996,1.0005777247260308,12758.04369854254,13139.333308322539
x[31],4.522090692083333,4.504345000000001,0.528184069913657,0.5338990860000008,3.688367,5.4327165,1.0001587676867645,14323.579364015617,13283.270750338377
x[32],7.02365356125,7.02627,0.38431768913289155,0.390857838,6.384184,7.657253000000001,1.000251556073487,16046.666020788778,15250.616380915642
x[33],1.0817482252916666,0.924963,0.5098997252313041,0.3668856786,0.5659827000000001,2.1342309999999998,1.000122803100201,16482.108818945264,16069.547421215033
x[34],3.3678034602083335,3.3376650000000003,0.6297648353589007,0.6222546330000006,2.3850160000000002,4.476032999999999,1.0001727863765018,11264.91086370353,9710.911363710831
x[35],3.3432506347083333,3.30922,0.63112517032044,0.6211871609999999,2.35389,4.4426505,1.0003674345047668,12628.674600748598,12070.227518027239
x[36],7.57636741375,7.580525,0.3636992465139,0.3712208010000001,6.969920999999999,8.170088,1.0000893413465943,16991.472083996083,16036.305015172135
x[37],5.042558315,5.028625,0.4934507579193925,0.5068119839999998,4.256799,5.879575,1.0001731386352886,15115.119390306334,13652.820968187863
x[38],2.587446362666667,2.55894,0.7130009708177301,0.6933453029999999,1.4323869999999999,3.8406084999999996,1.0001640627296973,11659.367283552558,9556.194837102827
x[39],3.534423659708333,3.50281,0.6213851981492554,0.6185777849999999,2.5529274999999996,4.620092,1.0003607349937766,12181.004192190794,12611.204416701927
x[40],1.893657827125,1.8324799999999999,0.7273774583929463,0.7414408469999997,0.8250911999999999,3.2421635,1.0003702943924595,11832.111824393154,10405.624257405763
x[41],3.1066167982083335,3.074215,0.6643733872158061,0.6506760750000001,2.06635,4.2781505,1.0002257497800582,11343.28383538338,10553.669186494615
x[42],2.742328088875,2.714505,0.7042736390295223,0.6779040239999997,1.6297190000000001,3.9798679999999997,1.0006025241518102,11760.140486546943,10038.483123060945
x[43],2.520195575708333,2.49058,0.7287701846274101,0.712559799,1.3430775,3.7999155,1.000293463941324,10036.240004930069,9906.149217974156
x[44],3.255636754625,3.22705,0.6446633808974054,0.6382074089999997,2.2469439999999996,4.3853415,1.000408851048045,12397.342350529207,10340.103583058079
x[45],4.737771985,4.72438,0.5139247382201336,0.5240768610000001,3.910518,5.614540000000001,1.0004080513943017,13929.1024973451,14491.799914296309
x[46],3.1672738875416666,3.13851,0.6505765115739224,0.6392674679999995,2.1465105,4.2981885,1.0009004189390585,12192.601554259865,11182.946091649823
x[47],6.780468887083333,6.780225,0.3978125329755716,0.40917536099999985,6.1227990000000005,7.439018,1.000014443436877,17335.92347216683,16014.852760827114
x[48],1.4132649044583334,1.2777150000000002,0.6307614391188978,0.5977620809999996,0.6741225000000001,2.674128,1.000394525276988,13547.397279742156,13770.938252067272
x[49],1.0505759349166666,0.8939385,0.5014292860105134,0.3444628361999999,0.5491673,2.0945039999999997,0.9999486356958867,18688.901973338994,17803.05764444876
x[50],4.6096233558333335,4.590845,0.5243275511142255,0.533676696,3.7785630000000006,5.5069595,1.000218012161477,14385.175068298504,13481.363505842246
x[51],5.073325417916666,5.05477,0.4946823254323216,0.5051144070000002,4.282388500000001,5.914769,1.0006174822281049,16868.312007576402,15417.513603080411
x[52],3.9952127558333332,3.971585,0.5715070973531028,0.569955918,3.0752025,4.978850500000001,1.0005475199472442,12645.606780168968,12582.159703652047
x[53],5.056040767916667,5.039365,0.4890764404391855,0.498390816,4.2724985,5.890948,1.0003255551179384,16030.667367010525,15712.703823301717
x[54],5.40840027375,5.39701,0.47384665028508466,0.48864272099999967,4.644272000000001,6.2066669999999995,1.0006111794032402,16359.809029973885,16209.07181169305
x[55],5.7228477475,5.712675,0.44876878918324853,0.46475803499999924,4.9965155,6.478861,1.000526473255526,17471.458459454392,15123.414011330322
x[56],2.562774360875,2.535945,0.7165387168908399,0.6931377390000002,1.4080019999999998,3.822469499999999,1.0004164324836156,10743.278496736833,10667.31272867977
x[57],2.9242232203333334,2.898655,0.6799582350414115,0.6601054109999998,1.8337135,4.1221334999999995,1.0002459035814666,11502.039539092186,10868.01168769205
x[58],6.882243630416666,6.882595,0.39012782782163324,0.3939638850000003,6.2321085,7.5260225,1.0000786657174063,17560.290558081353,14932.21186693462
x[59],4.781133372916667,4.76033,0.5153765748816587,0.5217417659999996,3.9555295000000004,5.662114,1.000204689282408,14609.420369153673,12532.686247447753
x[60],1.9917262754583334,1.9341650000000001,0.7372556300001166,0.7413444780000001,0.8703476,3.3382449999999997,1.0001282167796324,10634.166027103689,9991.246306077786
x[61],1.8105935185,1.737495,0.7238486057393989,0.7488241950000001,0.77481055,3.161419,1.000515674088721,11776.241533202043,11082.539469618154
