variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],4.110572270333333,4.1261399999999995,0.9083993973341342,0.9057499920000008,2.5875075,5.581920499999999,0.9999614230230741,28882.718973768362,17140.35835374064
tau[2],1.0041379753333333,1.00294,0.003998965308448695,0.0029800259999997704,1.00023,1.0122,1.0001715430112035,36253.060140296395,15743.078218410901
tau[3],4.1139752383333335,4.120850000000001,0.9076722436833509,0.9069657239999995,2.5978355,5.589496,1.0002692033184752,30442.472722950777,17476.440793173602
tau[4],2.5125481366666667,2.5621650000000002,0.4202749687225723,0.3821253240000001,1.7316175,3.121086,1.0005365526077301,21842.38366197398,11763.367589944313
tau[5],2.252819968,2.30675,0.3533673917237744,0.32363675400000014,1.5845725,2.7470904999999997,1.0003496770061142,22972.184503758814,12287.031021687622
tau[6],4.187052767,4.18796,0.9360700493559571,0.93003498,2.6368965,5.7269815,1.000118548732182,35041.34881800925,19352.41629268118
tau[7],3.2623367716666665,3.2902899999999997,0.6072847434799346,0.5695407900000006,2.2062235,4.225312000000001,1.000054382373846,27019.555824415365,16760.63832487962
tau[8],2.0794409523333335,2.133635,0.32335464286915466,0.2923983719999999,1.450202,2.524145,1.0004710305795323,19929.426596885944,11173.399868594117
tau[9],2.5516849883333332,2.599195,0.4256606648116143,0.39310397699999994,1.7624245,3.1736144999999993,1.0001663555977927,22471.16730140043,11985.637372142994
tau[10],4.2128824043333335,4.207645,0.9664632905657288,0.9597833490000002,2.640507,5.819528999999999,1.0004576910497085,33775.036210702296,17060.699084811793
tau[11],4.165868923333333,4.16551,0.9611462093141796,0.9782120669999999,2.5955529999999998,5.7436115,0.9999591134159247,37232.42571964333,16693.987149204626
tau[12],4.204347292,4.200455,0.9667662749877872,0.9704061780000001,2.6170805,5.8222735,1.000074082383726,35352.57627847189,19489.21512863073
tau[13],4.192775268,4.181345,0.9622700960584752,0.9564400860000001,2.6190160000000002,5.7938945,1.0001538362606623,35716.02228922618,18324.601913938957
tau[14],4.197333598666667,4.19384,0.9497933390285936,0.956625411,2.6511544999999996,5.778454000000001,0.9999683593474323,34311.67909032181,19061.21286040501
tau[15],1.9627730586666667,2.01374,0.2945969736049345,0.26775014700000005,1.3843685,2.3623905,1.0008866360931084,17090.860092873136,8410.82180320193
tau[16],2.3877834306666665,2.434975,0.3794012760060492,0.341561388,1.6792175,2.933381,1.0003596999919986,22016.817273066266,12160.069926647993
tau[17],4.146106890666666,4.139255,0.9634335204073606,0.9704135910000001,2.5675985000000003,5.736406,1.0000801808251871,37838.497138855055,17452.837622395964
tau[18],4.146869074,4.15277,0.9016481423158559,0.9051866040000004,2.63931,5.6218140000000005,1.0001887471062871,31831.512903322873,19732.41164519183
tau[19],4.02123222,4.040825,0.8606852643367918,0.8518871340000002,2.5761384999999994,5.405796499999999,1.0001177290893422,27979.631756981762,17357.231206383956
tau[20],2.064024484,2.11989,0.31980295976276213,0.2865272759999998,1.4381560000000002,2.4981025,1.000713247919528,18378.96471234457,10175.764781727554
tau[21],3.714964440666667,3.7393850000000004,0.7514275252088621,0.7199727990000004,2.4276795,4.914800499999999,1.0002980915663422,29243.168174511404,17629.681375686185
tau[22],4.202327627,4.202245,0.9641869623403322,0.9709918050000006,2.632574,5.802811,1.000051527804735,29809.90695558677,15409.13097746165
tau[23],4.150671908666666,4.1473949999999995,0.9561156877213834,0.9557951549999991,2.5755380000000003,5.736112,0.9999287574513192,41248.125674418894,16520.23503935874
tau[24],4.103179446333334,4.112595,0.889579417095244,0.8819987400000002,2.6177525,5.556780999999999,1.0003700668235849,32732.065261439227,20229.248703693793
tau[25],3.9166442613333334,3.93275,0.8226245052697191,0.8228429999999995,2.5438135,5.244154000000001,1.000283980837311,28622.933123895284,16891.97092450977
tau[26],3.0106134823333335,3.044895,0.542336818028615,0.5047659959999999,2.0506640000000003,3.8435625,1.0000540088033762,27802.41841523686,15458.640583944602
tau[27],3.878710484,3.90049,0.8048743074125323,0.7847475929999999,2.5066034999999998,5.168162,1.0003987076881982,28110.495611859136,18792.95566785511
tau[28],4.028267408333333,4.049015,0.8616007796683435,0.8560606530000009,2.5768695000000004,5.4250549999999995,0.9999626701260493,29915.079559919017,18403.638370281107
tau[29],2.829315472,2.86683,0.49247662182910995,0.44974671,1.947601,3.570792,1.0002191510097953,22892.151123083073,13396.471599757115
tau[30],2.684778703666667,2.7284800000000002,0.45506479919325593,0.41702572799999993,1.8423065,3.3571289999999996,1.0001452016263486,24443.931255879645,14515.137324573581
tau[31],4.195138862666667,4.187060000000001,0.9611909858055194,0.9648909060000007,2.6278185,5.796192499999999,1.0003125445000485,33781.21114725645,16837.445305070425
tau[32],4.169539374666667,4.179815,0.9348841695292971,0.9380780849999999,2.620644,5.6871835,1.0001015884378435,27022.8006460884,16031.729261484996
tau[33],4.156117751333333,4.146745,0.9565130329431114,0.964683342,2.582425,5.7338745,0.9999347587936444,39146.321377928376,17308.565297503646
tau[34],4.190396614666667,4.2023399999999995,0.9292809048855638,0.9415473690000002,2.6512515,5.717507499999999,0.9999515835317874,32935.45457158135,19732.949739019452
tau[35],4.203313064,4.192970000000001,0.9689684509887301,0.9742312859999984,2.6146355000000003,5.820280499999999,1.0002818539232257,32609.08183347769,16926.888185648993
