1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,5856.88,5697.16,5772.27,5913.37,5767.65,5959.99,0.7928,0.625735,0.943145,0.838014,0.759959,0.775073,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5877.94,5727.26,5836.67,5787.33,5786.07,5932.62,0.793172,0.761144,0.959117,0.841149,0.923438,0.964719,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,255,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5906.27,5837.65,5837.94,5794.62,5792.03,5867.01,0.926219,0.914012,0.906035,0.814163,0.883157,0.917637,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5807.6,5940.69,5725.55,5822.66,5831.54,5907.25,0.752857,0.655298,0.841723,0.886073,0.815609,0.935941,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5739.24,5728.37,5810.66,5757.75,5740.64,5952.25,0.927439,0.91886,0.959291,0.998607,0.820782,0.979073,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,255,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5826.07,5722.33,5788.11,5757.51,5680.47,5803.49,0.988543,0.99335,0.890581,0.9052,0.939744,0.9149,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5927.76,5752.87,5854.49,5846.79,5718.25,5940.73,0.844059,0.952412,0.765497,0.726013,0.500073,0.570974,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5995.79,5775.16,5796.7,5786.18,5729.7,5973.4,0.795956,0.956552,0.900995,0.695203,0.969784,0.520049,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5839.04,5842.69,5696.31,5860.75,5796.74,5988.31,0.940237,0.923138,0.930493,0.775087,0.863886,0.785556,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5711.83,5991.07,5769.45,5734.86,5848.21,5915.98,0.78909,0.876882,0.873504,0.465018,0.843745,0.709734,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5711.97,5917.26,5721.51,5825,5793.58,5773.43,0.801854,0.984008,0.804517,0.885645,0.833455,0.955645,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5729.01,5946.14,5729.36,5694.71,5718.49,5807.78,0.918023,0.732819,0.408891,1,0.819992,0.314261,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5732.6,5902.02,5839.53,5745.67,5719.56,5906.34,0.966638,0.727378,0.905751,0.827346,0.937784,0.745615,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5817.17,5893.73,5837.82,5714.15,5684.52,5916.6,0.790147,0.944597,0.857023,0.905633,0.573738,0.933554,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5858.89,5857.67,5822.93,5819.99,5814.59,5842.56,0.551908,0.964305,0.858236,0.489154,0.851342,0.635123,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5816.45,5920.3,5767.8,5797.75,5763.7,5733.08,0.95988,0.93534,0.949774,0.944925,0.937788,0.90428,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5794.54,5944.18,5764.54,5769.2,5786.42,5739.22,0.953946,0.929016,0.815698,0.637508,0.914625,0.643249,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5754.56,5952.87,5725.26,5755.7,5851.48,5841.91,0.813935,0.994922,0.824408,0.381878,0.837172,0.78374,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,255,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5727.83,5800.97,5710.65,5832.11,5762.24,5772.3,0.718823,0.803285,0.578265,0.449877,0.960964,0.509758,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
