variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],620887539.2083334,614918000,36737515.13338198,32917426.5,572332950,690339999.9999999,1.0004633877476294,24314.831986313275,16191.337499564761
A[2],2691510.7616666667,2675830,100154.66856906723,89015.30399999999,2559889,2878457,0.999958587598888,24923.765400009353,17392.32779338576
A[3],4220173126.6666665,4091885000,815093393.2890441,728386554,3158201500,5727945999.999999,1.0001906988386087,22338.395370320824,16694.529916257132
A[4],3043990.07625,3002150,291682.4575230162,265867.245,2650915.5,3571667,1.000363560234258,24987.484202786745,17394.103577572434
A[5],913466.7585,910231,21869.724781493293,19811.2425,883688.9,953233.3,1.0001348242068928,24101.596886207957,17235.76281637004
A[6],14224831.822916666,13943000,1838405.3796765439,1661772.21,11778785,17599600,1.0004062788886703,24416.610095198637,18092.86157065632
A[7],2773473.1354166665,2743385,194674.229710932,175665.861,2516189.5,3131850.5,1.0003725833882622,22716.319650849076,17381.283045491193
A[8],2600437.4883333333,2502805,584023.6351266738,501000.192,1853396.5,3684663.5,1.0001650759121823,22878.310120505077,15415.9410820393
A[9],83874918.17916666,83664000,1615199.105737556,1447610.64,81645595,86797545,1.0001733560040411,24842.428689966226,17689.395929887334
A[10],59963765.1125,59453450,3187492.446087471,2839030.7399999998,55789055,65837529.99999999,1.000042259347806,24998.64432315493,17049.228594385553
A[11],1209774.9404166667,1196825,79843.31587255867,71995.056,1104738.5,1360562.5,1.0000629470511235,24470.685445938165,17281.142408322026
A[12],48470735.37083333,48469800,388466.44703479926,386513.82,47833990,49113310,1.0006050887429458,42119.433667016674,17345.975497009735
A[13],78344705720.83333,75986650000,14646316285.939745,12880161630,59266130000,105063100000,1.0003608963116146,21580.136852149873,15702.754367723866
A[14],5800037.57875,5783810,127330.05110474961,114701.34899999999,5625117.5,6031252.5,1.0005405388270825,21925.77884819429,16739.287591336568
A[15],12296423581.666666,12113150000,1206772397.8878334,1091934900,10679680000,14554905000,1.0004504104865468,24577.478780999234,17440.585454567336
A[16],351310587.8333333,345261500,42319298.22998877,38810761.5,294311500,429137349.99999994,1.0003926198314013,24277.781807179945,17438.161209230733
A[17],13315053.904166667,13132000,1234698.1107025507,1135004.43,11663680,15636669.999999998,1.0001201042822274,24657.890818767304,18054.893143382524
A[18],5084339732.5,5019330000,401968136.8938422,363859692,4551349000,5844306000,1.0001418200711154,23336.105502212726,15718.09633757605
A[19],2139210.5433333335,2138760,17902.782860667558,17894.982,2110349.5,2169170,1.000080777406263,37920.23707463482,18225.712652207585
A[20],13142711.544166667,12857850,1915269.6014303633,1742129.13,10561895,16721794.999999998,0.999970616311362,25300.991842343792,17248.405195948348
A[21],1342561546.375,1301790000,254250418.82548863,226474563,1008158500,1811082000,1.0000907483725818,22746.32666846447,17131.13364909702
A[22],4227814.41125,4215780,89978.10946212217,81468.87,4103209,4394034,1.0002206862663774,23149.825678223773,17293.42906959679
A[23],2873019.2975,2869900,37646.21257094175,35634.291,2817410,2939080,1.0000903003255155,26438.269717072617,17369.718210793337
A[24],463525335.7083333,457339500,40757099.08839824,37163592.9,409096700,538946650,1.000361926404977,25156.11817671615,16652.025720907648
A[25],3388649.78,3388350,28187.53367691498,28302.834,3342788.5,3435222,1.001029623810424,38423.11545036723,17042.372190903006
A[26],7216460907.083333,7088180000,849273633.161817,778001763,6075152500,8776221000,1.0000061850146373,25076.893698793934,17330.969464422837
A[27],1450975492.5,1420420000,202403395.48569036,185421369,1179985500,1823432500,1.0003784542088165,22317.188581509217,17496.954099922117
A[28],19614332600,19546550000,489591405.7711101,446188470,18947390000,20511810000,1.0001861516874335,23963.47158507109,16396.025722888902
A[29],80296855.03333333,79846250,2801343.621532635,2468158.35,76617090,85508875,1.0002628994441876,23020.261326986572,16423.349895371382
A[30],193944751458.33334,184979000000,51349705813.73228,44618847000,128981650000,289910300000,1.000299784342049,23648.216543047278,16091.986811258847
A[31],1521557780.8333333,1521140000,13800901.633729538,13521312,1499470000,1544921000,1.0003051866429182,31235.731635081538,17568.658818005508
A[32],2369404.7083333335,2362680,49809.02804973947,45693.731999999996,2300730,2460823.5,1.0001823013388729,24113.12875378459,16470.228853419216
A[33],16267323.783333333,16115900,950277.4697716371,855089.5499999999,15009595,18067785,1.0002925372225826,24085.455796091956,16988.428620556024
