1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,8957.34,9082.51,9051.48,9067.52,9059.52,9065.42,0.741136,0.411074,0.959122,0.834997,0.793169,0.695398,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9045.73,9125.84,9165.41,9205.48,8971.61,9053.84,0.930117,0.978096,0.512612,0.638074,0.889419,0.987264,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9105.19,8996.1,9030.75,9187.07,8884.63,8993.8,0.882779,0.950737,0.987051,0.588711,0.985996,0.98485,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9211.62,9103.31,9048.92,9097.28,8981.64,9039.75,0.957066,0.86182,0.827409,0.969616,0.462048,0.764297,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9252.27,9099.92,9043.56,9038.02,8874.17,9096.22,0.907504,0.903845,0.955353,0.892853,0.930834,0.744884,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9030.31,8963.94,9079.45,9029.13,8994.53,9169.64,0.887788,0.735744,0.985476,0.812805,0.939391,0.638491,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9054.22,9011.02,9087.08,9082.24,9045.19,9137.78,0.740981,0.774396,0.790494,0.9478,0.91538,0.957501,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9042.9,9055,9098.57,9139.08,9017.61,9068.76,0.920775,0.981831,0.874301,0.921622,0.916961,0.972409,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9072.59,9164.86,9098.68,9032.81,8929.73,8993.66,0.967834,0.872021,0.894369,0.949319,0.891103,0.984967,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9055.55,9104.08,9067.9,9056.8,9120.48,8957.88,0.743015,0.794679,0.901906,1,0.98106,0.927719,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
