variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
id[1],3152,3152,0,0,3152,3152,NA,NA,NA
id[2],3156,3156,0,0,3156,3156,NA,NA,NA
id[3],3192,3192,0,0,3192,3192,NA,NA,NA
id[4],3196,3196,0,0,3196,3196,NA,NA,NA
id[5],3259,3259,0,0,3259,3259,NA,NA,NA
id[6],3299,3299,0,0,3299,3299,NA,NA,NA
id[7],3305,3305,0,0,3305,3305,NA,NA,NA
id[8],3309,3309,0,0,3309,3309,NA,NA,NA
id[9],3314,3314,0,0,3314,3314,NA,NA,NA
id[10],3343,3343,0,0,3343,3343,NA,NA,NA
id[11],3379,3379,0,0,3379,3379,NA,NA,NA
id[12],3384,3384,0,0,3384,3384,NA,NA,NA
id[13],3401,3401,0,0,3401,3401,NA,NA,NA
id[14],3422,3422,0,0,3422,3422,NA,NA,NA
id[15],3438,3438,0,0,3438,3438,NA,NA,NA
id[16],3453,3453,0,0,3453,3453,NA,NA,NA
id[17],3517,3517,0,0,3517,3517,NA,NA,NA
id[18],3535,3535,0,0,3535,3535,NA,NA,NA
id[19],3585,3585,0,0,3585,3585,NA,NA,NA
id[20],3655,3655,0,0,3655,3655,NA,NA,NA
id[21],3668,3668,0,0,3668,3668,NA,NA,NA
id[22],3778,3778,0,0,3778,3778,NA,NA,NA
id[23],3785,3785,0,0,3785,3785,NA,NA,NA
id[24],3799,3799,0,0,3799,3799,NA,NA,NA
id[25],3823,3823,0,0,3823,3823,NA,NA,NA
id[26],3952,3952,0,0,3952,3952,NA,NA,NA
id[27],3956,3956,0,0,3956,3956,NA,NA,NA
id[28],4024,4024,0,0,4024,4024,NA,NA,NA
id[29],4056,4056,0,0,4056,4056,NA,NA,NA
id[30],4082,4082,0,0,4082,4082,NA,NA,NA
id[31],4175,4175,0,0,4175,4175,NA,NA,NA
id[32],4345,4345,0,0,4345,4345,NA,NA,NA
id[33],4413,4413,0,0,4413,4413,NA,NA,NA
id[34],4551,4551,0,0,4551,4551,NA,NA,NA
id[35],4556,4556,0,0,4556,4556,NA,NA,NA
id[36],4627,4627,0,0,4627,4627,NA,NA,NA
id[37],4650,4650,0,0,4650,4650,NA,NA,NA
id[38],4666,4666,0,0,4666,4666,NA,NA,NA
id[39],4724,4724,0,0,4724,4724,NA,NA,NA
id[40],4909,4909,0,0,4909,4909,NA,NA,NA
id[41],5057,5057,0,0,5057,5057,NA,NA,NA
id[42],5077,5077,0,0,5077,5077,NA,NA,NA
id[43],5089,5089,0,0,5089,5089,NA,NA,NA
id[44],5092,5092,0,0,5092,5092,NA,NA,NA
id[45],5240,5240,0,0,5240,5240,NA,NA,NA
id[46],5362,5362,0,0,5362,5362,NA,NA,NA
