variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
x[1],1.9290418105416667,1.901945,0.3459489388935227,0.33423734399999994,1.4110399999999998,2.5364340000000003,1.000302532091006,24747.727230861386,15764.208164844991
x[2],1.8253982632083334,1.79823,0.33477542908080266,0.32574945899999996,1.3229289999999998,2.4144464999999995,1.0005642122738316,27070.559619268504,16349.23817653909
x[3],3.5911754141666665,3.5780149999999997,0.4355194369115655,0.432311334,2.8951695,4.3227660000000006,1.0000129100675446,19126.264576410776,14192.03330670995
x[4],4.659485789583333,4.655390000000001,0.43220677630212095,0.4253727660000003,3.953153,5.380376999999999,1.000187604575768,18809.463582749962,14168.241300221258
x[5],3.3194900583333333,3.30524,0.4213327773546202,0.41398639799999976,2.6511880000000003,4.0345085,1.0001387512159976,19898.202830390976,14204.206491783492
x[6],4.295545558333333,4.2862100000000005,0.4395301212239129,0.4291682219999998,3.5838855,5.032490500000001,1.0005806589819675,17894.28320858285,12867.234498524333
x[7],5.38786355,5.3820049999999995,0.4090935461108503,0.4049647770000006,4.7274765,6.0654205,1.0002666434156837,16846.91912423848,12534.425215368956
x[8],1.8423805775416666,1.81429,0.3375512552617226,0.3208346399999999,1.3395605,2.4418369999999996,1.0004597636081916,23635.27187552946,14879.615890117118
x[9],3.0042657904166665,2.982335,0.41013708636459884,0.40492029899999965,2.3688879999999997,3.7124155,1.000227154963415,22010.77156597268,15998.248495215443
x[10],3.00214610625,2.988175,0.4079131722906623,0.4043346719999998,2.368583,3.7045514999999996,1.000149921517477,23016.825903562032,16363.592558130349
x[11],4.18790636625,4.181335,0.4383086587585731,0.43412751899999974,3.4811690000000004,4.920727,1.0002400839049341,20013.477232742476,15482.522048344114
x[12],2.4609473445833334,2.438545,0.37387571975504624,0.3631258050000001,1.89137,3.110144,1.0002425694033763,22970.38823875888,16873.371474970892
x[13],4.6657634925,4.661315,0.42513526459810724,0.41925704100000005,3.9715815,5.372606,1.0003593132147945,19037.57082313443,13096.751685343357
x[14],1.4393026424583333,1.408865,0.301683734523654,0.2869720560000001,0.9989707999999999,1.9788949999999998,0.9999494490755595,29669.095965717264,16851.38110396458
x[15],3.4548339970833335,3.438965,0.4342584031867239,0.432719049,2.770875,4.191271,1.000191952341285,19356.737213505257,13065.82117349211
x[16],3.00149652875,2.97993,0.40710583972888487,0.4012731029999998,2.3672544999999996,3.7093279999999997,1.0000455811083429,22533.42506520803,17142.72789608683
x[17],2.3277046058333335,2.304595,0.3685703691429608,0.356424453,1.766268,2.970162,1.0000296277935525,23034.406695774043,16620.120634955372
