variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],1049834079.0333333,1039965000,98656662.69045676,95732223.3,906120250,1227760500,1.0001595111757733,59965.97947878255,21150.11809471071
A[2],601788769.1333333,596548500,56734961.10689153,55548574.199999996,518655050,703256500,1.0004382986695632,60899.833817336694,22215.08196192186
A[3],1070774503.6333333,1061600000,56962609.703091435,51001440,996602700,1178251000,1.0004258529004944,57377.73463291761,21160.606154954516
A[4],145237837.26666668,144765000,3321051.5508542336,3008195.4,140763000,151326199.99999997,0.9999869562063969,50918.985202228156,21814.477668480526
A[5],99573851.64666666,98504200,6356438.795166088,5769167.25,91188580,111600200,1.0004490911731716,55471.00824263467,21523.623226795167
A[6],573045987.1,570137500,17857784.918218154,15764485.799999999,549589950,606098450,1.000496519421541,54377.90350457875,19419.801282987286
A[7],399026475.2,398525500,5372976.305183577,5050476.899999999,391160850,408472100,1.0000556423077378,49520.82354583636,21809.965062233863
A[8],45767149.73,45333150,4392857.427603954,4260992.399999999,39329580,53630614.99999999,1.0001201687520156,57310.75185533119,21468.117530921187
A[9],46701369270,46200950000,3487824976.8152494,3276990780,41950965000,53204605000,0.9999610979764519,58386.37151638428,23103.743104920886
A[10],4658511413.333333,4606920000,348716383.5446903,326816931,4187075500,5303320500,1.0001460848913857,58682.04268872686,21164.956778123615
A[11],539175874.1,536234000,18026858.10773905,16176648.6,515390950,572855049.9999999,1.000631018699819,55716.864727135406,21410.790960165174
A[12],3075160159.3333335,3041560000,273939898.8012999,263495085,2687708500,3571311500,1.0005540741273262,58724.61763662267,21519.373068409634
A[13],385799370.23333335,384524000,8785971.165113417,7897068.899999999,373824000,401950100,1.0000879286372815,51926.8604896296,21604.156766551117
A[14],5697923637,5654000000,546070292.0399508,544373655,4887279500,6663707500,1.000222040285375,59165.503035663714,22291.62287550823
A[15],2901908442.6666665,2873720000,172011939.9787833,153656664,2676820000,3225103000,1.0002142880616958,60222.56739714812,21478.553947180077
A[16],5000219315.666667,4946025000,374161339.6744047,351606003,4491198500,5692770500,1.0000202348780407,59246.05141643537,22865.15042019118
A[17],3013847674,2982965000,272642042.10079885,260811579,2623558000,3505452000,1.000803088625606,57312.59614960663,22022.631418322126
A[18],244823251.33333334,244704000,2480691.4313212764,2413672.8,240940900,249034000,0.9999258148634783,54171.1428715929,21847.41186228363
A[19],2216427610.6666665,2191490000,167260401.30594546,156569973,1988588000,2527631500,1.0003302963032281,61153.60221045901,21594.458280940795
A[20],12880368876.666666,12742900000,908073701.0172802,838410300,11657595000,14577800000,1.0006142985031827,55221.003796071855,20569.69258469419
A[21],1713239426,1697715000,162474346.78314382,159149697,1474540000,2004930000,1.0004505821434084,61491.820789768484,21298.763443106975
A[22],2025130503.6666667,2010150000,203743374.31496733,201047973,1716848000,2380233500,1.000213907304282,63275.18142042253,22140.53212613031
A[23],4865520338.666667,4815845000,297020233.68741393,270300219,4471577500,5427195500,1.000160256050707,55612.71210335462,20822.52000038552
A[24],884526013.9333333,880347500,26474745.04587811,23651176.5,849718950,933425050,1.000037020522397,55644.210777397726,21198.18007475425
A[25],6739691872,6668950000,593259759.4705733,574759542,5897639000,7823184500,1.000437424160896,56741.37846049493,22361.289204946843
A[26],23139801486.666668,23132700000,224122391.1824314,219128280,22782100000,23520800000,1.000029756688763,53189.04323236642,21198.6182676534
A[27],1599797569.3333333,1599530000,14326668.881258965,14144004,1576790000,1623950500,1.0007693485091003,53324.473122527554,20454.403836583915
A[28],75728525436.66667,75485000000,1695990583.2415237,1516996320,73438795000,78833640000,0.9999979486175314,55146.389724881345,21669.325007465653
A[29],17384197690,17206550000,1319266807.2627647,1248942240,15575390000,19837175000,1.0000348215909711,58464.266169916235,22383.77638074615
A[30],31063986600,30818350000,3069444277.436365,3029396580,26435785000,36503955000,1.0001247870179517,60677.33587464394,22498.578790958527
A[31],8807043801.666666,8715565000,734853313.7320133,700091133,7779283500,10150200000,1.0002074921312603,56259.876036769565,21306.139438439855
A[32],16866072620,16865850000,130404913.69980209,129653370,16652100000,17079805000,1.0001938979667435,62102.709573278415,21575.72441639605
A[33],25033554033.333332,24771000000,2110111230.592023,2036870010,22097190000,28928735000,1.0005151861654904,53341.55363881562,22235.81182542991
A[34],271280983.1,271057000,3198888.9081610744,3054156,266435950,276849050,1.0002697245336976,53391.69407574797,23129.103679857635
A[35],62750742240,62216850000,6179327841.088924,6037517850,53492790000,73674100000,0.9999907811913699,57862.02234091897,22537.1919101916
A[36],2348686082.3333335,2331305000,236004217.81666556,230900124,1993028500,2767807499.9999995,1.0002345765250469,60137.87787531364,22152.07738255862
A[37],10698886450,10609100000,1004452325.6969926,981043833,9220635000,12496410000,1.0002118569543244,60144.87970816758,22868.500702598827
A[38],617781884.5666667,611637500,37085453.77614024,33457834.2,569407900,687274150,1.000045452182485,55914.95079691,21751.876663208157
A[39],54958504363.333336,54490150000,5196875400.757106,5136838350,47385050000,64313564999.99999,1.0000769268691518,60053.280204952884,21399.718107576708
A[40],775149716.5333333,767153000,68541916.34126939,66777045.3,676905200,899981800,1.0001021988274876,58494.202086084384,20350.311421574457
A[41],1875629687,1867130000,54623105.562823944,48406890,1803329500,1976681000,1.0002439111368424,51958.09094201155,20701.781308585538
A[42],1985881128,1963170000,161647738.9144808,154309008,1762009500,2285385000,1.0003613002522156,63006.813650276956,21339.081899200526
A[43],3367095295.6666665,3333570000,321575670.0822771,315615888,2896709000,3945894500,1.0000532193876688,57694.535642936295,21588.505173231304
A[44],123315974333.33333,123321000000,952418259.988377,957759600,121740000000,124886000000,1.0001784564966503,58223.468446914936,22083.880504445486
A[45],73384808.52666667,72726750,6820233.095341375,6643456.47,63511795,85599455,1.0007555363673377,55928.94342327723,22302.960391256507
A[46],563926408.4,558683000,52913792.790599115,51507747.9,486631800,658949200,0.9999597187589909,61763.99345695857,21729.717839421217
A[47],1712294565,1710250000,22746935.939900346,21342027,1679029500,1752981500,1.0004263056517868,53400.60172656411,21066.497013131102
A[48],156130666.36666667,154515000,13528127.816193284,13011297.6,136975900,180769450,1.0001777748474117,62285.898401153514,22076.656390583554
A[49],37763679023.333336,37764000000,289539055.44123113,290737860,37288095000,38238810000,1.0001476413649288,63101.43311551699,21563.166074734472
A[50],333335064.3666667,333141000,3601978.2722377325,3461871,327801000,339526050,1.0000142589486616,51485.592913243716,21894.639236775925
A[51],297727805.96666664,294984500,28005271.855212793,27059673.9,256745600,347916500,1.0001817907673698,54995.98490171443,19727.533279700136
A[52],748114039,742190500,72999831.37945543,71661471,639538650,877546750,1.0000596436115405,61673.00004941601,21577.511678302613
