1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
5,5,5,5,5,5,0,0,0,0,0,0,21053,20772.8,20823.6,20966.5,20891.4,20841.4,0.679527,0.819917,0.978992,0.61349,0.921156,0.805077,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20985,20755.1,20774.4,20825.9,20958.2,20792.2,0.99061,0.856969,0.762631,0.930609,0.640409,0.824924,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20945,20802.7,20791.6,20936.1,20990.9,20854.1,0.50579,0.977093,0.675002,0.931634,0.825735,0.755603,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20909.1,20883.2,20895,21007.4,20817.7,20790.6,0.979516,0.825584,0.963427,0.869827,0.99912,0.833709,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20859.9,20935.7,20897.8,21038.6,20820.8,20779.1,0.954536,0.897103,0.808546,0.798937,0.763998,0.756579,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20804.2,20923.1,20859,20924.4,20875.7,20846.8,0.820585,0.991832,0.801773,0.987447,0.906446,0.780401,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20864.6,20922.4,20944.6,20910.2,20878,20612.6,0.904031,0.717548,0.814417,0.894899,0.734849,0.749857,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20857.2,20905,20776.8,20897.1,20911,20805.8,0.919278,0.857552,1,0.834538,0.965781,0.704382,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20998.1,20923.5,20819.5,20877.7,20947.6,20697.1,0.734922,0.845001,0.832101,0.954772,0.880839,0.939889,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20846.4,20892.4,20802.6,20853.6,20976.3,20853.4,0.887849,0.970358,0.913994,0.792046,0.90697,0.706808,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20761.1,20878.2,20833.4,20772.9,20838.3,20880.7,0.923718,0.893646,0.784248,0.859231,0.968014,0.845252,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,21005.9,20820.6,20797.3,20802.7,20869.7,20913.1,0.606769,0.946371,0.874764,0.958191,0.597418,0.680537,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20873.8,20860.4,20705.6,20889.6,20752.8,20941.3,0.861463,0.851401,0.834542,0.77473,0.943117,0.925277,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20920.1,20832.1,20650.5,20829.4,20719.8,20953.5,0.845029,0.889359,0.786671,0.919998,0.899181,0.853087,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20890.3,20707.4,20761.1,20829.4,20815.2,20815.6,0.975778,0.769088,0.639047,0.820003,0.548593,0.878151,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20920.2,20796.9,20872.7,20895.4,20740.7,20814.9,0.96728,0.682289,0.825591,0.866123,0.995414,0.620248,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20946.9,20827,20838.8,20938.9,20834.7,20813.5,0.977206,0.941319,0.972683,0.888184,0.556783,0.949388,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20998.6,20850.1,20870.5,20963.6,20864,20929.8,0.991827,0.748541,0.808002,0.893645,0.892648,0.672762,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20999.1,20859.7,20828,20821.8,20906.5,20929.3,0.873789,0.940636,0.982058,0.99694,0.892201,0.800287,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
