variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],6.088090782,6.05548,0.6631843764205895,0.6594160020000002,5.0543344999999995,7.2340564999999994,1.0000599913775343,54910.8889801557,21055.29833881341
tau[2],6.222198549,6.18952,0.662936348069816,0.6720255150000001,5.1846570000000005,7.3597554999999995,1.0003464148511965,56868.77160619445,21820.052611660627
tau[3],3.861599463666667,3.817925,0.4510478761161768,0.43506155700000027,3.2019390000000003,4.675511,1.0005457987771178,52354.994127404636,21279.473989540005
tau[4],2.9463699906666667,2.9231749999999996,0.2657030398316244,0.2553037200000005,2.554797,3.4160155000000003,1.0000919857020174,47013.2417618478,21446.245162165207
tau[5],4.180688759333333,4.12803,0.512557587418534,0.49655980499999985,3.4320705,5.1053415,1.0001880005689432,52449.6443250489,21342.56610930416
tau[6],3.2134697136666666,3.1801500000000003,0.32015439056750106,0.3081806489999999,2.7479394999999998,3.7819805,1.0004472848233914,50022.00729904117,19242.413025273676
tau[7],2.536336525,2.52357,0.19233388747865035,0.18602182200000028,2.2455629999999998,2.8702449999999997,1.0001436941974924,41134.79005457705,21909.952604001228
tau[8],6.203116294666667,6.172734999999999,0.6731643070237302,0.6774592439999998,5.148048500000001,7.3604544999999995,1.0000893773639454,51768.892734998575,21088.918477863215
tau[9],4.597735473666667,4.55348,0.5693932797025456,0.566538525000001,3.747228,5.6082205,1.0000809391339511,53969.693408504514,23079.776173895032
tau[10],4.601207106333334,4.5542300000000004,0.5694882713660315,0.562765307999999,3.7525235,5.6095025,1.0002755393942901,54393.23569869041,21430.750500551563
tau[11],3.2932176533333335,3.259525,0.3363757207263374,0.3243558149999999,2.8024025,3.8931234999999997,1.000575299722951,50838.86173112713,21460.575969501897
tau[12],5.383078452,5.34302,0.6427916504571553,0.6414024119999999,4.392798,6.507856499999999,1.0007598828442685,54407.29185334837,22625.606041812807
tau[13],2.943939709,2.921785,0.26657577456274,0.25895091600000003,2.5491075000000003,3.4158174999999997,1.0002937669540524,49227.4834924327,22190.954287599943
tau[14],6.67840936,6.656015,0.673949439392451,0.682759539,5.619265,7.818631,1.0003693661399404,53939.58545378292,21363.23699488334
tau[15],4.023395435666667,3.9734550000000004,0.4858035652671469,0.46734517200000036,3.3138605,4.8994335,1.0000762767421736,54351.863044794685,21285.60352109444
tau[16],4.604778115666667,4.55888,0.5685638609564208,0.5655081180000006,3.7544855,5.6121005,1.0000814489416132,54824.44226803857,23541.454287076467
tau[17],5.566080911,5.52714,0.6491773257794902,0.6447382620000001,4.561854,6.6854439999999995,1.000840725976697,54473.63612194523,21470.369633981783
tau[18],2.298386728666667,2.2898899999999998,0.15456334784931494,0.1504839000000002,2.0604579999999997,2.5682165,1.0000389994069447,43342.92588029871,22663.742073684076
tau[19],4.602863758333333,4.55359,0.5765512469072128,0.5689329239999993,3.7442475,5.6282045,1.0003482816630946,55922.7805811117,21359.324000603676
tau[20],4.471123279666666,4.42462,0.5445882302971604,0.529747806,3.664327,5.444141,1.0005761867399825,51202.89026584945,22254.50800709103
tau[21],6.125731035,6.098275,0.6709015459416459,0.6679928430000001,5.070542499999999,7.2792125,1.0003235003542594,58444.50660405346,20941.43531820103
tau[22],7.555591781333334,7.536175,0.6894506027151424,0.6883341150000003,6.4509545,8.718347,0.9999673411865982,54260.211859355855,22037.394868059822
tau[23],4.10119267,4.050245,0.49731070970821734,0.4877753999999996,3.373961,4.998732499999999,1.0001751775682728,51696.08761917582,21852.79905866173
tau[24],3.170737622,3.1422350000000003,0.31518730383033355,0.3032139390000003,2.7085464999999997,3.7299959999999994,1.0000344637603267,48735.297499050735,21025.45641058973
tau[25],5.3436459623333334,5.3058,0.6368771665078868,0.635383056,4.367075,6.45524,1.0002962031535438,52657.00700046898,21951.713118115058
tau[26],2.2506831143333335,2.242675,0.14584893047959474,0.14272248900000006,2.0270465,2.5017625000000003,1.000216214327422,43044.24139356921,22929.2469369312
tau[27],2.1483671606666666,2.14192,0.1310162374202034,0.1290751560000002,1.9447275,2.3743839999999996,1.000012738515175,41938.65152713137,23934.48539693192
tau[28],2.929288091666667,2.90649,0.2641233706735159,0.2541547050000002,2.5384175,3.3980680000000003,0.9999961072393574,46793.24746604688,22610.79295387133
tau[29],4.682285064333334,4.639455,0.5754430906455839,0.5671982819999998,3.814349,5.702543,1.0000473501922833,54111.22645379263,22040.827875398674
