variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
id[1],3127,3127,0,0,3127,3127,NA,NA,NA
id[2],3144,3144,0,0,3144,3144,NA,NA,NA
id[3],3244,3244,0,0,3244,3244,NA,NA,NA
id[4],3280,3280,0,0,3280,3280,NA,NA,NA
id[5],3367,3367,0,0,3367,3367,NA,NA,NA
id[6],3385,3385,0,0,3385,3385,NA,NA,NA
id[7],3407,3407,0,0,3407,3407,NA,NA,NA
id[8],3469,3469,0,0,3469,3469,NA,NA,NA
id[9],3501,3501,0,0,3501,3501,NA,NA,NA
id[10],3515,3515,0,0,3515,3515,NA,NA,NA
id[11],3565,3565,0,0,3565,3565,NA,NA,NA
id[12],3572,3572,0,0,3572,3572,NA,NA,NA
id[13],3576,3576,0,0,3576,3576,NA,NA,NA
id[14],3588,3588,0,0,3588,3588,NA,NA,NA
id[15],3608,3608,0,0,3608,3608,NA,NA,NA
id[16],3622,3622,0,0,3622,3622,NA,NA,NA
id[17],3673,3673,0,0,3673,3673,NA,NA,NA
id[18],3726,3726,0,0,3726,3726,NA,NA,NA
id[19],3759,3759,0,0,3759,3759,NA,NA,NA
id[20],3905,3905,0,0,3905,3905,NA,NA,NA
id[21],3938,3938,0,0,3938,3938,NA,NA,NA
id[22],3995,3995,0,0,3995,3995,NA,NA,NA
id[23],4129,4129,0,0,4129,4129,NA,NA,NA
id[24],4183,4183,0,0,4183,4183,NA,NA,NA
id[25],4228,4228,0,0,4228,4228,NA,NA,NA
id[26],4298,4298,0,0,4298,4298,NA,NA,NA
id[27],4352,4352,0,0,4352,4352,NA,NA,NA
id[28],4355,4355,0,0,4355,4355,NA,NA,NA
id[29],4482,4482,0,0,4482,4482,NA,NA,NA
id[30],4514,4514,0,0,4514,4514,NA,NA,NA
id[31],4573,4573,0,0,4573,4573,NA,NA,NA
id[32],4608,4608,0,0,4608,4608,NA,NA,NA
id[33],4618,4618,0,0,4618,4618,NA,NA,NA
id[34],4660,4660,0,0,4660,4660,NA,NA,NA
id[35],4942,4942,0,0,4942,4942,NA,NA,NA
id[36],5019,5019,0,0,5019,5019,NA,NA,NA
id[37],5085,5085,0,0,5085,5085,NA,NA,NA
id[38],5090,5090,0,0,5090,5090,NA,NA,NA
id[39],5193,5193,0,0,5193,5193,NA,NA,NA
id[40],5339,5339,0,0,5339,5339,NA,NA,NA
id[41],5387,5387,0,0,5387,5387,NA,NA,NA
id[42],5523,5523,0,0,5523,5523,NA,NA,NA
id[43],5610,5610,0,0,5610,5610,NA,NA,NA
id[44],5751,5751,0,0,5751,5751,NA,NA,NA
id[45],5808,5808,0,0,5808,5808,NA,NA,NA
id[46],6143,6143,0,0,6143,6143,NA,NA,NA
id[47],6150,6150,0,0,6150,6150,NA,NA,NA
id[48],6181,6181,0,0,6181,6181,NA,NA,NA
id[49],6243,6243,0,0,6243,6243,NA,NA,NA
id[50],6406,6406,0,0,6406,6406,NA,NA,NA
id[51],6427,6427,0,0,6427,6427,NA,NA,NA
id[52],6479,6479,0,0,6479,6479,NA,NA,NA
id[53],6602,6602,0,0,6602,6602,NA,NA,NA
id[54],6738,6738,0,0,6738,6738,NA,NA,NA
id[55],6979,6979,0,0,6979,6979,NA,NA,NA
id[56],7094,7094,0,0,7094,7094,NA,NA,NA
id[57],7226,7226,0,0,7226,7226,NA,NA,NA
id[58],7313,7313,0,0,7313,7313,NA,NA,NA
id[59],7438,7438,0,0,7438,7438,NA,NA,NA
id[60],7769,7769,0,0,7769,7769,NA,NA,NA
id[61],7786,7786,0,0,7786,7786,NA,NA,NA
id[62],7818,7818,0,0,7818,7818,NA,NA,NA
id[63],7823,7823,0,0,7823,7823,NA,NA,NA
id[64],7826,7826,0,0,7826,7826,NA,NA,NA
id[65],7829,7829,0,0,7829,7829,NA,NA,NA
id[66],7871,7871,0,0,7871,7871,NA,NA,NA
id[67],8008,8008,0,0,8008,8008,NA,NA,NA
id[68],8076,8076,0,0,8076,8076,NA,NA,NA
id[69],8129,8129,0,0,8129,8129,NA,NA,NA
id[70],8201,8201,0,0,8201,8201,NA,NA,NA
id[71],8236,8236,0,0,8236,8236,NA,NA,NA
id[72],8240,8240,0,0,8240,8240,NA,NA,NA
id[73],8258,8258,0,0,8258,8258,NA,NA,NA
id[74],8261,8261,0,0,8261,8261,NA,NA,NA
id[75],8282,8282,0,0,8282,8282,NA,NA,NA
id[76],8530,8530,0,0,8530,8530,NA,NA,NA
id[77],8667,8667,0,0,8667,8667,NA,NA,NA
id[78],8770,8770,0,0,8770,8770,NA,NA,NA
id[79],8943,8943,0,0,8943,8943,NA,NA,NA
id[80],8946,8946,0,0,8946,8946,NA,NA,NA
id[81],9065,9065,0,0,9065,9065,NA,NA,NA
id[82],9151,9151,0,0,9151,9151,NA,NA,NA
id[83],9194,9194,0,0,9194,9194,NA,NA,NA
id[84],9265,9265,0,0,9265,9265,NA,NA,NA
id[85],9304,9304,0,0,9304,9304,NA,NA,NA
id[86],9451,9451,0,0,9451,9451,NA,NA,NA
id[87],9686,9686,0,0,9686,9686,NA,NA,NA
id[88],9698,9698,0,0,9698,9698,NA,NA,NA
id[89],9876,9876,0,0,9876,9876,NA,NA,NA
id[90],10003,10003,0,0,10003,10003,NA,NA,NA
id[91],10095,10095,0,0,10095,10095,NA,NA,NA
id[92],10096,10096,0,0,10096,10096,NA,NA,NA
id[93],10151,10151,0,0,10151,10151,NA,NA,NA
id[94],10238,10238,0,0,10238,10238,NA,NA,NA
id[95],10262,10262,0,0,10262,10262,NA,NA,NA
id[96],10358,10358,0,0,10358,10358,NA,NA,NA
id[97],10381,10381,0,0,10381,10381,NA,NA,NA
id[98],10421,10421,0,0,10421,10421,NA,NA,NA
id[99],10435,10435,0,0,10435,10435,NA,NA,NA
