variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],448470435375,429611000000,80194344152.92014,50042197800,373351250000,581485100000,1.0000498299269085,18600.770375730768,12416.125237013328
A[2],288512248.7916667,284139500,22205279.357730843,17737826.4,263043000,328637150,1.0000750142679184,20814.091694025516,13805.643379158913
A[3],1956484255.375,1711505000,1269978755.9403896,1188630072,442180750,4327818500,1.0001159701664275,18964.107452008375,15286.8237830814
A[4],620290642.75,616171500,23761165.21519175,20892057.9,590222900,663913300,1.0001031450365434,22364.2026623428,14967.048317036675
A[5],177083764.125,176986000,1870193.58393894,1816185,174204850,180282000,1.000172836286127,34105.621547063165,19460.05295633134
A[6],2141421478.75,2073775000,300540897.1261832,202560225,1842029500,2653545000,1.0005283917231351,18429.727754446285,12270.906143148097
A[7],163102744,141974000,70883104.3599498,31718744.4,109408000,290907099.99999994,1.0003531982381675,15018.289651047055,10316.697565544964
A[8],323887217.875,323856500,2735582.5950933667,2738362.1999999997,319481950,328397050,1.0003214065331878,41699.07756082439,16796.617757060252
A[9],98906704.78333333,98567900,2342064.833902244,2127605.13,95805780,103128050,1.0000173670585262,24581.564109737334,16164.579128217041
A[10],1070490485.0833334,1054490000,81152177.86542991,62706567,980358900,1216620500,1.000094275011681,19547.059127441957,13509.116028584134
A[11],107140560.70833333,106929000,1830773.5251031662,1693870.5,104565000,110466150,1.0000329828668533,27203.74366306587,16909.059910832246
A[12],3198684397.0833335,3172885000,141047602.88438606,120557619,3027059000,3458394500,1.0000682914111179,21919.57259135038,14085.50760972854
A[13],417169134.375,413994500,17682817.000943705,15269297.399999999,395435800,450189100,1.000306769086219,22144.38005403373,14095.52728730484
A[14],187495266.625,173458000,54715416.903875545,27181988.4,143911900,274488350,1.0002742155416708,16059.464938972389,9495.67915712745
A[15],432569843.3333333,427030500,26989382.93902064,22093705.2,400724950,482545949.99999994,1.0002455954489395,19789.77262531338,13698.388622929388
A[16],576813904.375,575850000,8884012.777705839,8276614.5,564087900,592817200,0.9999739210358606,26516.123081238962,16949.636985387056
A[17],6392828915.833333,5321125000,3473321912.0538826,2983732500,2595392500,13217819999.999998,1.000162896014153,15740.848021096057,13449.777137184286
A[18],1629974430.4166667,1610440000,101107475.93763453,84345114,1509428500,1819001000,1.0002875712474923,19636.896460198946,13770.631384216556
A[19],5356563387.5,4861700000,2975565564.774179,2862455820,1633200500.0000002,10915499999.999998,1.0000942670820396,21631.11344460751,16131.139012253167
A[20],582835815.4166666,582040500,8419510.98438797,8028279,570627850,597591350,1.0001887878720779,28656.133506352988,17116.556217729652
A[21],15945677784.583334,12922950000,8764102571.025974,6232064622,7176777000,34893414999.99999,1.0001757559109117,14965.887942345493,12346.043022762373
A[22],7070370347.916667,5695095000,3911616879.944191,2634565374,3267242000,15741530000,1.0001553255841562,14108.739656479846,12548.40330399154
A[23],6534588971.666667,6486990000,262683668.22483882,229780761,6208676500,7013439000,1.0002045670505486,21670.546861873623,15171.473288105984
A[24],156832930.20833334,156688500,1924674.8641808718,1853991.2999999998,153944000,160193050,1.0002175985200528,28550.66591685523,18936.55563063559
A[25],37301909142.916664,32873700000,23057313455.290047,21503185620,9279343000,80435859999.99998,1.0001431430841898,19432.429997609714,15478.79616831379
A[26],5304804659.583333,4300095000,2928906784.7487283,2106448428,2369599500,11578229999.999998,1.000096058910906,15226.244684263735,13143.481495038775
A[27],10925300841.666666,10888900000,246894889.10678715,224465640,10596000000,11377905000,1.0001089390514573,24138.169707892615,16148.360005267468
A[28],5556150215.541667,4927640000,3429057787.69198,3252164643,1387927000,12061515000,1.0004759978456026,19088.01504881539,15166.813638644851
A[29],8491805668.333333,8351030000,698766087.6648432,550333707,7697676000,9767741500,0.9999977595238949,18838.100491905672,13339.35233414367
A[30],9639216718.333334,9623015000,147448703.42558655,136940349,9429349000,9901967500,1.0000544020442979,28125.024347694092,17804.514446519166
A[31],2592985461.6666665,2075570000,1448586167.8344326,863607087,1277455500,5885524999.999999,1.0000522459699308,14561.713382499987,11595.812423963946
A[32],15381558862.5,14961600000,1883584800.161808,1288601790,13484680000,18594740000,1.0005823141452062,18267.06401959084,11728.170942461236
A[33],833786719.4166666,832720500,11290466.115296222,10784432.399999999,817415450,853719100,1.0000464711475816,29730.442058117806,18758.066303892923
A[34],6425602462.5,6425360000,52865758.444022685,52380258,6338357000,6512433000,1.0005374067925679,47812.39318459128,18753.171697533937
A[35],4289729675.4166665,3649010000,2037653553.1368794,944705307,2706923000,8376788499.999996,1.0003515225864372,13976.424164930713,10599.492798303061
A[36],3477112485.4166665,3452570000,138234865.20037824,116502708,3307020000,3732720500,1.000963369911726,20030.967399279547,14172.821295971627
A[37],65572013570.833336,65443400000,1088224331.9678826,1008019740,64046865000,67527000000,0.999908555606563,26766.601081592104,17543.87222449093
A[38],42922241687.5,38935050000,22331047721.9498,22854946170,14947685000,83101650000,1.0000129179571229,20437.164192999862,16444.589065253473
A[39],1066797897.5833334,1060030000,39759302.75515186,35167272,1016139500,1140920000,0.9998576496403644,21928.012939322583,15045.482600836533
A[40],380662483583.3333,320250500000,279783922998.98663,255796684500,62033985000,916284299999.9999,0.9999611314966662,18201.193638996694,14218.073620687383
A[41],45153144273.333336,40166200000,27063165809.14794,25420511340,12143435000.000002,95878694999.99998,1.000243464019993,19257.03841745,15228.264221146366
A[42],16089718867.083334,13557200000,7906261169.50461,3643563630,9920934000,31970244999.999996,1.001090731068725,14868.415112048875,10507.215416184255
A[43],3190307826.6666665,2546120000,1770308900.8426754,1082179392,1541739000,7178173999.999999,1.0000753813609655,13655.17224008684,11416.2772052889
A[44],14140844045.833334,13123950000,4036855850.2163568,2021895750,10945590000,20304139999.999992,1.0001283747927012,17064.670083249806,10853.369895983547
A[45],1843402207.9166667,1779055000,282170504.8061873,185072958,1570495500,2318903499.9999995,1.000159863045532,18705.840405593375,13107.897056400994
A[46],318540095.0416667,315309000,17001575.757068854,13917166.2,298301850,349520850,1.0001192289242602,20686.44257869917,14385.943606395329
A[47],590585069.2083334,560595500,127845406.97477797,70333802.7,481858200,786209850,1.0001966436705199,16245.400931359156,11429.887994290375
A[48],24285260952.083332,21646600000,12728818505.984911,12849027030,8774926000,47571540000,1.0004703815020306,19132.592866139094,16034.966336439607
A[49],9587426297.5,8795220000,3068233989.5116267,1424318994,7268535000,14290714999.999998,1.0001307185545443,16404.460834318386,9939.8536454857
A[50],51286523079.166664,45047850000,26954534103.61691,26592506640,19124905000,101324599999.99994,0.9999609113876107,17884.825730556637,15885.496940908024
A[51],2674406307.0833335,2633945000,191203745.9818577,153671490,2453209000,3027287500,1.0000454472284153,20695.331828821818,14553.65893770708
A[52],1524304164.0833333,1227780000,840487594.9884948,470379312.9,787177350,3455136499.9999995,1.000258527319962,13876.393323791897,11280.39328457979
A[53],620952779.2916666,618711000,14936005.340763316,13608785.399999999,601187900,648135600,1.0004815159484055,24394.050444998396,15216.741512481622
A[54],212234564333.33334,210647000000,8934948479.120707,7739913300,201117000000,228915150000,1.000197889746387,21582.521928900216,13767.195045790084
A[55],11785556938.75,9462100000,6555347366.983397,4394952723,5467117500,26207150000,1.0007366042781145,14336.526829672372,11933.693819449092
A[56],44076398565.833336,39048000000,26846948965.965492,25211242350,11261450000,94907830000,1.0008232226549125,19646.585574624765,14984.628365477492
A[57],16472341133.333334,15853650000,2726908422.88983,1638495390,14016380000,20788810000,1.0005220470241745,18144.27191746418,12473.713456278629
A[58],16871626162.5,14555200000,8957458826.796902,8486950962,6439737500,33741135000,1.000280384711561,18274.41671351317,15935.781056772219
A[59],14283662329.166666,13460350000,3382139684.1555476,1836570750,11433485000,19562224999.999992,1.0001253949130897,17793.09144680577,11532.109290994422
