variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],3.877216440833333,3.8181700000000003,1.5601914807468207,1.4791751939999995,1.5059655,6.459966,0.9999280912742016,18429.626504945245,12826.318897751673
tau[2],3.0604586204166666,3.10248,1.0241378376425199,1.0806449009999999,1.371204,4.688522,1.000209827942445,21255.38881302751,12687.917169527216
tau[3],11.926123301666667,12.31605,5.076991915766296,6.189854999999998,3.2377495,19.27763,1.0003055500712568,25591.086021522453,15697.292904124413
tau[4],2.5459377504166665,2.60055,0.7602542859444612,0.8384325390000003,1.2460080000000002,3.7144915000000003,1.0000802724742746,23020.418044323374,12233.307020164653
tau[5],1.84336148125,1.8794650000000002,0.42952514637910577,0.5072864159999998,1.117294,2.4844114999999998,1.00041294330492,28279.23805538374,13625.967588619398
tau[6],3.6055268666666667,3.5947899999999997,1.3638903226604315,1.3542439050000008,1.4771635,5.8427109999999995,1.000491257219303,18794.84510691,13419.98744830292
tau[7],5.4589820225,5.00804,2.851676630084389,2.285613225,1.837577,10.880424999999999,1.0003574617985829,14385.894608639419,10577.288891262975
tau[8],1.6742227341666667,1.699615,0.34576110780400426,0.413193207,1.0908375000000001,2.1889005,0.9999164839039573,29763.08579173821,12800.684152562133
tau[9],2.2598095183333333,2.30721,0.6243771701500637,0.7068740280000001,1.19642,3.20929,1.000074027158488,24837.20845443891,12094.364853641899
tau[10],3.00297825125,3.029875,1.0068371446741275,1.0576571879999999,1.3427285,4.624524,1.0001468247648848,19736.841683837458,12894.253951947041
tau[11],2.09963029375,2.1457249999999997,0.543027500953866,0.6172063800000005,1.167324,2.9221054999999994,1.0003954188690316,24956.543217606762,11496.885190815929
tau[12],2.6247640825,2.66848,0.8077139376379345,0.8909165789999998,1.2694995,3.8874514999999996,1.000110448895499,22663.707679544324,12560.68817200817
tau[13],2.60736175875,2.66409,0.7866261199168891,0.860893929,1.2727585,3.8348125,1.0004413387426954,23009.240383382697,13417.268681044508
tau[14],4.482827695,4.282585,2.07056995245972,1.7916998609999997,1.636032,8.0505135,1.0001836023747834,15688.675858192535,10194.755611831199
tau[15],2.88960563875,2.93285,0.9310241674071379,0.9993761819999999,1.3427015,4.381539999999999,1.000399253362586,20545.08289181973,13436.613191697785
tau[16],2.0519783791666666,2.096775,0.5229765393199548,0.5975471040000001,1.153999,2.8427665,1.0000379427806445,25417.55435136447,12272.717704620722
tau[17],9.817307580416667,9.23516,4.7694084864157,5.307026004000001,2.711608,18.407644999999995,1.0001605895461099,15653.345282341841,12842.801994182688
tau[18],2.879820245,2.923515,0.9332230013548838,1.0007179349999997,1.3185445,4.3502730000000005,1.0004428254593103,20915.102268163995,13265.9628849779
tau[19],12.079186400416667,12.4999,4.983814959260744,6.0247304249999996,3.4122205,19.269155,1.0000339905477353,22111.850801196808,13836.788277941556
tau[20],2.007675799583333,2.047335,0.5053194823006139,0.5885625479999999,1.1462285,2.7646349999999997,1.000171196155058,26969.788370438866,12240.623408455755
tau[21],8.813246252083333,8.04462,4.497548396664785,4.485858342,2.5247865000000003,17.553949999999997,1.0002212039253988,14860.28583670077,13064.534165334959
tau[22],8.62110658875,7.769825,4.434713691342783,4.313891568,2.5430295000000003,17.433584999999997,1.000233287197988,14170.572602496235,12596.512512870031
tau[23],2.5720047954166665,2.62167,0.7755203449400122,0.857624796,1.2592655000000001,3.768409,1.0002808864053656,21176.714611572137,11892.381722746033
tau[24],1.9246726725,1.96238,0.4616317384977885,0.539599683,1.1387165000000001,2.6143415,1.0006717233309872,28585.183919229832,12552.022102587689
tau[25],12.07260970875,12.536,5.039564881101438,6.112500344999999,3.3475060000000005,19.266985,1.0003384903750314,23985.820642657673,15742.962638852629
tau[26],8.80900261,8.036835,4.530990662145041,4.5597807779999995,2.466867,17.53052,1.0000728764915274,15032.072325158984,13938.63760706345
tau[27],2.2356511025,2.2830649999999997,0.610448727063898,0.6883192890000002,1.1941354999999998,3.1629335,1.0008447503146096,22870.397856620548,11420.70860775861
tau[28],12.013079202916666,12.47935,5.066928421695622,6.173768789999999,3.2313194999999997,19.2716,1.0000825178323751,24132.013097609728,16360.353009542652
tau[29],3.1012417,3.1300600000000003,1.0600695730368226,1.119118371,1.3558415,4.800667499999999,0.999983835793349,18997.052283150275,12781.67546948464
tau[30],2.0475359608333332,2.088895,0.5138900175524583,0.5900599739999999,1.1718485,2.8198619999999996,1.0005487561382709,27853.85558817074,13246.654446527229
tau[31],7.873351874166667,7.04237,4.240272380572261,3.9111655169999997,2.259432,16.610744999999994,1.000206668324115,14054.585954132528,12387.391645229218
tau[32],3.4354916958333335,3.4290599999999998,1.2582630622539617,1.2550579650000002,1.4494545,5.473002999999999,1.0009107335538787,18471.636670545864,13106.788699018667
tau[33],1.9890252466666667,2.02835,0.49163663034589705,0.5668128060000001,1.149286,2.7239625000000003,1.0001570356681355,28853.545519802945,13217.333684231313
tau[34],1.63408551125,1.6590500000000001,0.3281161324109115,0.3888118500000001,1.0798590000000001,2.121991,1.0005987264144522,29193.82455476872,11509.218704596826
tau[35],5.921575821666667,5.36387,3.1767136407314127,2.5592715329999995,1.9121165,12.32761,1.000408936674191,13674.303238682996,10685.174060791418
tau[36],2.5517937904166668,2.60108,0.765904619452361,0.8359491839999998,1.2432474999999998,3.737141,1.0008455000043397,20092.701729020922,11526.272687647835
tau[37],2.0868571208333333,2.12702,0.5322899346258012,0.60475254,1.1741855,2.8898405,1.000237305767299,25947.941101269254,11737.294825284705
tau[38],11.547825005833333,11.7031,4.923834964783219,5.9459673,3.2963,19.08098,1.0002347141703025,19862.37111131141,15184.315415165393
tau[39],2.538892082083333,2.590315,0.7457599458261647,0.827876427,1.2648175,3.6920515,1.000073380773926,23383.72920682659,12653.855667810434
tau[40],11.692381282916667,12.038,5.152472512617788,6.392163182999997,2.978983,19.263430000000003,1.0000540235544333,24919.174958990294,15187.81875554118
tau[41],12.103212158333333,12.54125,4.992048980006431,6.053159280000001,3.5266625,19.283714999999997,1.000362088626616,23445.32896214498,16259.504334339152
tau[42],6.083345868333334,5.49788,3.2901349750217,2.6459072640000003,1.941948,12.695404999999997,1.0009870866353368,14135.776220467686,11151.649367460182
tau[43],8.084470641666666,7.21932,4.310983218382456,4.005562659,2.3236685,16.869049999999998,1.000076339925482,13480.984681610176,11523.69448197289
tau[44],4.446782570416667,4.265595,2.021152389953474,1.7518105080000004,1.643802,7.831812999999998,1.0001370982561542,16637.073163916266,11015.977401471395
tau[45],3.687318180416667,3.650175,1.4283862029978236,1.4054380829999997,1.4945585,6.029546,1.0002575236333349,18474.76777271736,13971.062416480228
tau[46],2.7611090883333334,2.805795,0.8630933491353541,0.9232001939999995,1.3169534999999999,4.1165604999999985,1.0000731715237903,21707.147168469466,13525.713808693423
tau[47],4.024608625416667,3.9442,1.6945402235843,1.5577011029999999,1.539442,6.808266999999999,1.000513931892875,15653.770364820326,12224.458595026084
tau[48],11.21205750375,11.14965,4.920017174339061,5.876062710000001,3.2043845,19.036015,1.0003163485675597,18976.98798836418,13468.359611496668
tau[49],4.578404938333334,4.353565,2.1734520440818605,1.8075192030000002,1.6509255,8.329731499999996,1.0000636000328236,15356.684467823716,10065.92397265122
tau[50],10.87231390625,10.701450000000001,4.9040320906545,5.837033265,3.117712,18.934889999999996,0.9999613847074,17707.811598935314,12959.361587861353
tau[51],3.00046452875,3.04031,0.982146591343984,1.0299325679999995,1.365998,4.577449,1.0000567502900364,20814.993402755343,13676.015102035879
tau[52],7.499401096666666,6.66811,4.0650450260982955,3.601131618,2.197175,16.022795,1.0003254723375385,13719.679053557971,11668.252697236081
tau[53],2.2632950608333333,2.312505,0.6292691172980462,0.7130935350000001,1.188091,3.2184714999999997,1.0006114250303384,25612.382029387725,13222.042282895845
tau[54],2.604548062916667,2.661525,0.7884921424702812,0.8616278160000002,1.2659755000000001,3.828386,1.000359541336512,21575.841855348786,11862.050213225171
tau[55],8.51370747875,7.67543,4.422779584588162,4.338569445,2.4452605000000003,17.262814999999996,1.0007468512732989,14099.742314379835,12529.307375187314
