PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
29427,151.828987,47.006491,0,10.5001,1.5215,-1.760008272236454,L19,FUV+WISE4,8.609991727763544,L19,SSFRLIKE,8.605981526229256,O3N2/C20,14.675397872924805,13.60721206665039,13.095759391784668,12.788272857666016,12.89356517791748,,0.027984878048300743,0.004368998575955629,0.005135457497090101,0.00411664042621851,0.01674557663500309,,NNNNNM,111112,0.0,PH,0.5795447857560008,0.20164547594388788,0.09360443648002022,0.07349190652686016,0.05171339529323102,,,,,,-1.760008272236454,0.017377677282540745,8.609991727763544,4.073725182906228E8,4.265795188015941E-11,-10.37,3402
26586,140.821086,51.972967,0,9.741578462528365,4.3870683,,,,7.125348213698319,K23,g_r_PSDR2_noEBV,,,16.68104362487793,15.914093017578125,15.574462890625,15.360148429870605,15.578629493713379,15.7896003723145,0.10275810956954956,0.00798537116497755,0.016782304272055626,0.009534835815429688,0.04831620305776596,0.0107570001855493,NNNNNP,000001,,,,,,,,,,,,,,,7.125348213698319,1.3345910672956012E7,,,3589
4080379,228.729216,-39.555424,0,0.9162681102752686,0.5340572,,,,5.047892384100824,K23,u_r_SDSSDR17_noEBV_median,7.4008097580942085,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,5.047892384100824,111658.65292004276,,,3877
4191059,137.374005,32.296489,0,1.1886954762837454,2.7457418,-5.378554310411928,K23,noEBV,5.161797626619803,K23,u_r_SDSSDR17_noEBV,7.4327031855133985,MZ/C20,19.97472,18.74702,17.9252,17.62955,17.47558,17.5492992401123,0.03875504,0.008960719,0.007377224,0.007855734,0.01726835,0.0160799995064735,SSSSSP,111111,,,,,,,,,,S?,,,-5.378554310411928,4.1825938022807285E-6,5.161797626619803,145143.51174465008,2.8816953317480255E-11,-10.540351937031732,4003
5871044,217.687402,0.137778,0,0.9162681102752686,0.5340572,,,,5.551276549661418,K23,g_r_PSDR2_noEBV,7.541756994067939,MZ/C20,20.58598,19.78891,18.09481,17.5337,17.23796,17.1506996154785,0.3229118,0.03176266,0.01311965,0.009045812,0.0188323,0.0110440002754331,SSSSSP,000001,,,,,,,,,,,,,,,5.551276549661418,355857.8492872233,,,4041
5861590,221.992608,-0.96784,0,4.390562358681025,3.3611326,-4.252588169208732,K23,noEBV,6.2737277518769945,K23,u_r_SDSSDR17_noEBV,7.744040532893727,MZ/C20,20.93507,19.62356,18.75346,18.33638,17.97172,18.0821990966797,0.09219417,0.01351378,0.009936126,0.01039716,0.02494824,0.0185020007193089,SSSSSP,111111,,,,,,,,,,,,,-4.252588169208732,5.59000029481859E-5,6.2737277518769945,1878139.090252393,2.9763505396543235E-11,-10.526315921085725,4096
5864900,219.718868,0.832879,0,1.3562087329097687,2.7778914,-5.525769849714932,K23,noEBV,5.737550322439731,K23,g_r_SDSSDR17_noEBV,7.593913354381254,MZ/C20,22.31026,19.45764,18.10657,17.0736,16.59764,,0.3514566,0.01349166,0.007198935,0.005358381,0.008842067,,SSSSSM,111112,2.0,PH,0.018809265550792778,0.05759196091063853,0.8192622457576808,0.041112452302908796,0.06322407547797904,,,,,,-5.525769849714932,2.9800952845720004E-6,5.737550322439731,546449.8642881126,5.4535566377243385E-12,-11.263320172154662,4104
5861591,222.06806,-0.953281,0,3.727269749493038,3.233673,,,,6.884065235255836,K23,u_r_SDSSDR17_noEBV,7.914920783436883,MZ/C20,20.64295,19.40499,18.83442,18.47161,18.31988,,0.08224032,0.01453332,0.01050135,0.01093772,0.02808022,,SSSSSM,111112,,,,,,,,,,,,,,,6.884065235255836,7657116.156065473,,,4137
2084,8.703792,7.450361,0,8.051445455688661,4.063298,,,,8.406974370038489,K23,u_r_SDSSDR17_noEBV,8.340184336212454,MZ/C20,16.76881,15.03176,14.19901,13.81681,13.48207,13.4946002960205,0.01091105,0.002289655,0.002053526,0.00207157,0.003105163,0.00105600000824779,SSSSSP,111111,4.0,PH,0.018063289985165848,0.035399833027323635,0.05373074132260741,0.03093963322060709,0.861866502444296,,,,,,,,8.406974370038489,2.5525506590119517E8,,,4150
4192016,137.773902,6.445911,0,0.9162681102752686,0.5340572,,,,5.825641793939347,K23,u_r_SDSSDR17_noEBV,7.618578763597786,MZ/C20,20.55701,18.19345,16.77019,16.20176,15.92491,15.7355003356934,0.0910795,0.006591291,0.004134134,0.003929132,0.007059462,0.00382900005206466,SSSSSP,111111,,,,,,,,,,S?,,,,,5.825641793939347,669332.3164308209,,,4161
