PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
34792,170.364051,57.768445,0,32.11953246414359,8.643876,,,,8.231550174046562,K23,u_r_SDSSDR17_noEBV,,,17.64687,16.05694,15.72186,15.68549,15.62279,17.4815998077393,0.04475356,0.005730562,0.007491624,0.009256469,0.04313647,0.0159959997981787,SSSSSP,111111,,,,,,,,,,,,,,,8.231550174046562,1.7043162076134193E8,,,3119
1561163,143.764431,18.493268,0,36.98892527956139,9.563122,-1.0961690708636123,K23,EBV,8.703380876681104,K23,g_r_PSDR2_EBV,8.457267076392426,O3N2/C20,16.02600860595703,15.411970138549805,15.196866989135742,15.09061050415039,14.979989051818848,14.9525995254517,0.006732604932039976,0.0014916924992576241,0.001968720695003867,0.0030243981163948774,0.006681643892079592,0.00406700000166893,NNNNNP,100001,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-1.0961690708636123,0.08013660308184357,8.703380876681104,5.051040801420891E8,1.5865364433267025E-10,-9.799549947544715,3127
37301,178.433442,7.792409,0,39.19240525037089,9.978218,-1.3006138406044097,K23,EBV,8.452512383289763,K23,u_r_SDSSDR17_EBV,8.330258766862093,O3N2/C20,16.86803,16.14865,15.85719,15.75003,15.61768,15.7260999679565,0.008793848,0.003080121,0.003177822,0.003533479,0.008880774,0.00501100020483136,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-1.3006138406044097,0.050047934584396145,8.452512383289763,2.8347344607606447E8,1.765524611817319E-10,-9.753126223894172,3144
40037,185.526925,6.782499,0,38.30878517271684,9.811781,,,,8.17199942317382,K23,u_r_SDSSDR17_noEBV,8.657099795922313,O3N2/C20,17.91999,17.00235,16.36974,16.06749,15.95136,16.1056995391846,0.06222108,0.008880125,0.006775986,0.02596958,0.0653889,0.0101669998839498,SSSSSP,111111,0.0,SVM3d,,,,,,,,,,,,,8.17199942317382,1.485933668681434E8,,,3194
55327,232.970504,45.43072,0,32.19322757313029,8.657817,-1.553410514796712,L19,WISE4,8.846589485203287,L19,W4W1,8.416908571386172,O3N2/C20,16.84534,15.73355,15.46262,15.39068,15.28887,14.9729995727539,0.01014878,0.00300585,0.003192862,0.004412986,0.01141803,0.00707900011911988,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-1.553410514796712,0.027963368458683604,8.846589485203287,7.024080581067019E8,3.981071705534979E-11,-10.399999999999999,3244
140317,216.433737,43.863546,0,39.52001567149583,10.039956,-2.6630754146815465,K23,noEBV,8.02000091373852,K23,u_r_SDSSDR17_noEBV,8.30348606725113,O3N2/C20,17.83994,17.03615,16.69052,16.64021,16.64346,,0.01799262,0.005345644,0.006033077,0.009528504,0.03958524,,SSSSSM,111112,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-2.6630754146815465,0.002172323924837573,8.02000091373852,1.047130751170527E8,2.0745488778829746E-11,-10.683076328420068,3280
1204412,186.574179,1.741678,0,37.47838788744615,9.655302,,,,7.060540201428701,K23,u_r_SDSSDR17_noEBV,7.964322788965196,MZ/C20,17.814193725585938,17.420576095581055,17.29166603088379,16.211578369140625,22.00967788696289,,0.12578226625919342,0.027729349210858345,0.11172159761190414,0.02718169055879116,19.031082153320312,,NNNNNM,111102,,,,,,,,,,,,,,,7.060540201428701,1.1495826521540632E7,,,3308
2317440,210.212849,48.437088,0,36.465315728261736,9.464396,,,,,,,8.478220061182771,O3N2/C20,17.24542,16.56837,16.33366,16.3441,16.53193,16.3325004577637,0.02139437,0.007193392,0.007569603,0.01131486,0.04514544,0.0147930001839995,SSSSSP,000001,0.0,SoDDA,1.0,0.0,0.0,0.0,,49889.0,,,,,,,,,,,3312
35080,171.224886,37.925161,0,32.658403281172646,8.74573,,,,8.061245419191817,K23,u_r_SDSSDR17_noEBV,8.244097601028457,MZ/C20,17.81428,16.69641,16.24023,16.08205,16.13496,,0.03596244,0.00783227,0.007214246,0.01099646,0.02926383,,SSSSSM,111112,,,,,,,,,,,,,,,8.061245419191817,1.151450888382431E8,,,3324
1181814,188.627545,1.011507,0,34.52143589712049,9.097666,,,,7.566336824245074,K23,u_r_SDSSDR17_noEBV,8.533308048569978,O3N2/C20,19.16581,18.1135,17.64944,17.40433,17.322,17.4025001525879,0.04981097,0.008665483,0.008450677,0.0101015,0.04040204,0.0148750003427267,SSSSSP,111111,0.0,SVM3d,,,,,,,,,,,,,7.566336824245074,3.684145928809288E7,,,3336
