Reference,z_min,z_max,A_FUV,log_v,log_v_upper_error,log_v_lower_error,Symbols_used_in_Figure
Wyder_et_al._(2005),0.01,0.1,1.8,-1.32,0.05,0.02,blue-gray hexagon
Schiminovich_et_al._(2005),0.2,0.4,1.8,-1.3,0.03,0.04,blue triangles
Schiminovich_et_al._(2005),0.4,0.6,1.8,-1.39,0.08,0.07,
Schiminovich_et_al._(2005),0.6,0.8,1.8,-1.2,0.13,0.14,
Schiminovich_et_al._(2005),0.8,1.2,1.8,-1.22,0.12,0.15,dark green pentagon
Robotham_and_Driver_(2011),0.05,0.05,1.81,-1.17,0.09,0.1,green squares
Cucciati_et_al._(2012),0.05,0.2,1.11,-1.75,0.06,0.07,
Cucciati_et_al._(2012),0.2,0.4,1.35,-1.55,0.16,0.15,
Cucciati_et_al._(2012),0.4,0.6,1.64,-1.44,0.18,0.19,
Cucciati_et_al._(2012),0.6,0.8,1.92,-1.24,0.25,0.26,
Cucciati_et_al._(2012),0.8,1,2.22,-0.09,0.09,0.09,
Cucciati_et_al._(2012),1,1.2,2.21,-0.94,0.08,0.08,
Cucciati_et_al._(2012),1.2,1.7,2.17,-0.95,0.08,0.08,
Cucciati_et_al._(2012),1.7,2.5,1.94,-0.75,0.08,0.08,
Cucciati_et_al._(2012),2.5,3.5,1.47,-1.01,0.05,0.05,
Dahlen_et_al._(2007),3.5,4.5,0.97,-1.69,0.23,0.23,turquoise pentagons
Dahlen_et_al._(2007),0.92,1.33,2.03,-0.72,0.05,0.05,
Dahlen_et_al._(2007),1.62,1.88,2.03,-0.87,0.15,0.15,
Reddy_and_Steidel_(2009),2.08,2.37,1.36,-0.87,0.08,0.08,dark green triangles
Reddy_and_Steidel_(2009),1.9,2.7,1.38,-0.97,0.11,0.11,
Bouwens_et_al._(2012a_2012b),2.7,3.4,1.07,-1.27,0.08,0.08,magenta pentagons
Bouwens_et_al._(2012a_2012b),3.8,3.8,0.58,-1.29,0.08,0.08,0.08
Bouwens_et_al._(2012a_2012b),4.9,4.9,0.41,-1.42,0.08,0.08,0.08
Bouwens_et_al._(2012a_2012b),5.9,5.9,0.2,-1.65,0.08,0.08,0.08
Bouwens_et_al._(2012a_2012b),7,7,0.1,-1.79,0.05,0.05,0.05
Schenker_et_al._(2013),7.9,7.9,0,-2,0.11,0.11,black crosses
Schenker_et_al._(2013),7,7,0.1,-2,0.11,0.11,
,8,8,0,-2.21,0.14,0.14,
